Rank,EntryId,EntryName,EntryPoints,Player,Position,PercentDrafted,PlayerPoints,Pitcher1,Pitcher2,Catcher,FirstBase,SecondBase,ThirdBase,ShortStop,Outfield1,Outfield2,Outfield3,ContestDate,ContestName,ContestId,ContestFee,Winnings
1,1055370992,m3deman,166.8,George Springer,OF,50,9,Stephen Strasburg,Matt Shoemaker,Yan Gomes,Justin Smoak,Jose Altuve,Josh Donaldson,Carlos Correa,George Springer,Dee Gordon,Kevin Pillar,20180331,perfect_game,54847274,333,10000
2,1055557525,Awesemo,159.85,Jose Altuve,2B,49.41,18,Stephen Strasburg,Lance McCullers,Rene Rivera,Justin Smoak,Yangervis Solarte,Josh Donaldson,Zack Cozart,Mike Trout,Randal Grichuk,Steve Pearce,20180331,perfect_game,54847274,333,6000
3,1055308529,MESBRO,156.6,James Paxton,P,43.53,0.5,Jacob deGrom,Stephen Strasburg,Travis d'Arnaud,Matt Adams,Asdrubal Cabrera,Todd Frazier,Yangervis Solarte,Yoenis Cespedes,Jay Bruce,Billy McKinney,20180331,perfect_game,54847274,333,4000
4,1055622114,DraftCheat,144.85,Justin Smoak,1B,42.35,15,Stephen Strasburg,Lance McCullers,Travis d'Arnaud,Justin Smoak,Jed Lowrie,Luis Valbuena,Carlos Correa,George Springer,Jose Martinez,Steve Pearce,20180331,perfect_game,54847274,333,2000
5,1055557529,Awesemo,144.75,Alex Bregman,3B,40,0,Jacob deGrom,Lance McCullers,Rene Rivera,Albert Pujols,Jed Lowrie,Luis Valbuena,Zack Cozart,Mike Trout,Matt Joyce,Stephen Piscotty,20180331,perfect_game,54847274,333,1500
6,1055554549,jd23vt,143.8,Luis Castillo,P,37.65,7.05,Stephen Strasburg,Daniel Mengden,Travis d'Arnaud,Matt Adams,Asdrubal Cabrera,Anthony Rendon,Trea Turner,Bryce Harper,Yoenis Cespedes,Jay Bruce,20180331,perfect_game,54847274,333,1250
7,1055624614,anilprao88,143.25,Gary Sanchez,C,36.47,0,Jacob deGrom,James Paxton,Matt Wieters,Tyler Austin,Neil Walker,Anthony Rendon,Didi Gregorius,Bryce Harper,Adam Eaton,Matt Adams,20180331,perfect_game,54847274,333,1250
8,1055313205,tastefultides,138.8,Carlos Correa,SS,35.29,29,Stephen Strasburg,Matt Shoemaker,Evan Gattis,Albert Pujols,Howie Kendrick,J.D. Davis,Carlos Correa,Mike Trout,Marwin Gonzalez,Randal Grichuk,20180331,perfect_game,54847274,333,1000
9,1055645050,extoneagles,138,Giancarlo Stanton,OF,32.94,7,Lance McCullers,Michael Fulmer,John Hicks,Matt Adams,Jose Altuve,Alex Bregman,Carlos Correa,Bryce Harper,George Springer,Brian Goodwin,20180331,perfect_game,54847274,333,1000
10,1055638611,TGus13,137.8,Evan Gattis,C,32.35,9,Jacob deGrom,Luis Castillo,Brian McCann,Tyler Austin,Scooter Gennett,Todd Frazier,Didi Gregorius,Mike Trout,Aaron Judge,George Springer,20180331,perfect_game,54847274,333,1000
