Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1063710951,coachjpark (1/2),0,132.55,P Charlie Morton P Jameson Taillon 3B Kris Bryant OF David Peralta SS Manny Machado OF Brett Gardner OF Marcell Ozuna 1B C.J. Cron C Victor Caratini 2B Jace Peterson,,Luke Weaver,P,40.68%,23.85
2,1063710952,coachjpark (2/2),0,129.35,P Jameson Taillon P José Quintana OF Mookie Betts OF J.D. Martinez SS Xander Bogaerts 1B Hanley Ramirez OF Brett Gardner 3B Matt Duffy C Victor Caratini 2B Jace Peterson,,Giancarlo Stanton,OF,38.98%,0
3,1063645563,bigdshaggyj,0,120.55,P Charlie Morton P Luke Weaver OF Giancarlo Stanton OF Aaron Judge 3B Matt Davidson OF Avisaíl García 2B Neil Walker C Max Stassi 1B C.J. Cron SS Ronald Torreyes,,Aaron Judge,OF,35.59%,12
4,1063544278,bradhr (1/2),0,119.7,P Jameson Taillon P Luke Weaver 2B José Altuve OF Aaron Judge 3B Kris Bryant SS Carlos Correa OF Avisaíl García C Yadier Molina 1B Neil Walker OF Craig Gentry,,Neil Walker,1B,35.59%,9
5,1063686014,Madindian1,0,119.2,P Charlie Morton P Taijuan Walker OF Rhys Hoskins OF Aaron Judge 2B César Hernández 3B Maikel Franco OF Odúbel Herrera 1B Neil Walker C Austin Romine SS Adeiny Hechavarria,,Kris Bryant,3B,33.90%,0
6,1063603883,Awesemo (2/2),0,116.7,P Charlie Morton P Jake Arrieta OF Giancarlo Stanton OF Aaron Judge 2B Neil Walker 3B Matt Duffy OF Carlos Gómez 1B C.J. Cron SS Daniel Robertson C Jesús Sucre,,Francisco Lindor,SS,32.20%,0
7,1063603882,Awesemo (1/2),0,113.55,P Charlie Morton P Luke Weaver OF Rhys Hoskins OF Aaron Judge 1B Carlos Santana OF Odúbel Herrera 2B Neil Walker 3B Miguel Andújar SS J.P. Crawford C Andrew Knapp,,Willson Contreras,C,28.81%,15
7,1063691888,tj4ua,0,113.55,P José Quintana P Eduardo Rodríguez OF Giancarlo Stanton OF Aaron Judge C Willson Contreras OF Brett Gardner SS Addison Russell 2B Ben Zobrist 1B Neil Walker 3B Miguel Andújar,,Brett Gardner,OF,25.42%,8
9,1063666345,ebor1973,0,113.4,P Jameson Taillon P Reynaldo López OF Rhys Hoskins SS Xander Bogaerts 1B Matt Davidson 2B César Hernández 3B Maikel Franco OF Avisaíl García C Yadier Molina OF Odúbel Herrera,,Charlie Morton,P,22.03%,26.7
10,1063711612,chuck41,0,112.15,P Mike Clevinger P Jameson Taillon OF Starling Marte 2B Yoán Moncada OF Brett Gardner OF Marcell Ozuna SS Eduardo Núñez 1B Tyler Austin 3B Matt Duffy C Victor Caratini,,Mike Clevinger,P,20.34%,15.3
11,1063666337,dandydon,0,108.55,P Charlie Morton P Luke Weaver OF Aaron Judge 3B Kris Bryant C Willson Contreras SS Addison Russell 2B Ben Zobrist 1B Trey Mancini OF Albert Almora Jr. OF Dexter Fowler,,Jordan Montgomery,P,20.34%,2.55
12,1063575625,Bjames2262,0,106.85,P Mike Clevinger P Reynaldo López OF Giancarlo Stanton OF Aaron Judge SS Manny Machado 2B Jonathan Schoop 1B Neil Walker OF Trey Mancini 3B Miguel Andújar C Austin Romine,,Michael Brantley,OF,20.34%,5
13,1063677347,ehafner (2/2),0,106.05,P José Quintana P Reynaldo López OF Giancarlo Stanton 3B Kris Bryant C Willson Contreras OF Brett Gardner SS Addison Russell 2B Ben Zobrist 1B Neil Walker OF Albert Almora Jr.,,Reynaldo López,P,18.64%,21.55
14,1063650764,CoachS111,0,98,P Charlie Morton P Mike Clevinger SS Francisco Lindor OF Brett Gardner 2B Jason Kipnis OF Avisaíl García OF Nicky Delmonico C Max Stassi 1B C.J. Cron 3B Jace Peterson,,Domingo Santana,OF,16.95%,2
15,1063698762,jontlevy,0,97.85,P Jake Arrieta P Luke Weaver OF Aaron Judge SS Francisco Lindor 2B José Ramírez OF Brett Gardner 3B Maikel Franco OF Michael Brantley 1B Tyler Austin C Yan Gomes,,Jason Kipnis,2B,16.95%,0
16,1063556573,extoneagles,0,96.55,P Charlie Morton P Jameson Taillon 3B Kris Bryant SS Manny Machado OF Marcell Ozuna OF Tommy Pham 2B Neil Walker 1B Matt Carpenter OF Dexter Fowler C Victor Caratini,,Jake Arrieta,P,16.95%,12
17,1063702001,Bird77,0,93.55,P Charlie Morton P Luke Weaver OF Rhys Hoskins 3B Matt Davidson 1B Carlos Santana 2B César Hernández C Welington Castillo OF Odúbel Herrera OF Dexter Fowler SS Ronald Torreyes,,José Quintana,P,16.95%,26.5
18,1063603249,bigsam92,0,92.15,P Mike Clevinger P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Francisco Lindor OF Brett Gardner 2B Jonathan Schoop 1B Neil Walker 3B Miguel Andújar C Victor Caratini,,Carlos Correa,SS,15.25%,0
18,1063693922,mkuderik,0,92.15,P Mike Clevinger P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Francisco Lindor OF Brett Gardner 2B Jonathan Schoop 1B Neil Walker 3B Miguel Andújar C Victor Caratini,,Avisaíl García,OF,15.25%,6
20,1063583940,randoff26,0,91.45,P Jameson Taillon P Trevor Richards OF Giancarlo Stanton OF Aaron Judge SS Francisco Lindor 1B Matt Davidson 3B Alex Bregman OF Brett Gardner 2B Neil Walker C Max Stassi,,José Ramírez,2B,15.25%,4
21,1063557409,noodles28 (1/2),0,87.15,P Mike Clevinger P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Francisco Lindor OF Brett Gardner 2B Jason Kipnis 1B Neil Walker 3B Miguel Andújar C Bryan Holaday,,Victor Caratini,C,15.25%,5
22,1063672697,scout326 (2/2),0,84.5,P Jake Arrieta P José Quintana OF Giancarlo Stanton SS Francisco Lindor 3B José Ramírez 1B Yonder Alonso OF Michael Brantley OF Bradley Zimmer C Austin Romine 2B Jace Peterson,,Xander Bogaerts,SS,15.25%,3
23,1063703509,JMason925,0,83.55,P Charlie Morton P Luke Weaver SS Francisco Lindor 2B José Ramírez 1B Yonder Alonso 3B Manny Machado OF Tommy Pham C Yadier Molina OF José Martínez OF Bradley Zimmer,,Edwin Encarnacion,1B,13.56%,0
24,1063622412,drdenturedds,0,82.8,P José Quintana P Chase Anderson OF Giancarlo Stanton OF Aaron Judge 1B Carlos Santana 2B César Hernández 3B Maikel Franco OF Odúbel Herrera C Francisco Cervelli SS Ronald Torreyes,,Maikel Franco,3B,13.56%,3
25,1063677346,ehafner (1/2),0,82.55,P Jake Arrieta P Reynaldo López 3B Kris Bryant 1B José Abreu C Willson Contreras 2B Yoán Moncada SS Addison Russell OF Avisaíl García OF Ben Zobrist OF Albert Almora Jr.,,Miguel Andújar,3B,13.56%,14
26,1063627203,BarOfSoap,0,82.15,P Mike Clevinger P Luke Weaver SS Carlos Correa 1B Edwin Encarnacion 3B Alex Bregman OF Josh Reddick 2B Jason Kipnis OF Michael Brantley C Yan Gomes OF Derek Fisher,,Matt Davidson,1B,13.56%,2
27,1063679821,ChipotleAddict (1/2),0,82,P José Quintana P Mike Fiers 3B Kris Bryant 1B Paul Goldschmidt SS Francisco Lindor OF Kyle Schwarber C Willson Contreras 2B Jason Kipnis OF Michael Brantley OF Bradley Zimmer,,Rhys Hoskins,OF,13.56%,11
28,1063614993,moklovin,0,81.35,P José Quintana P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant SS Francisco Lindor C Willson Contreras 2B Jason Kipnis OF Michael Brantley OF Domingo Santana 1B Neil Walker,,César Hernández,2B,13.56%,9
