Rank,EntryId,EntryName,Points,Player,Roster Position,Drafted,FPTS,,,,,,,,
1,1063710951,coachjpark,132.55,Luke Weaver,P,40.68,23.85,Charlie Morton,Jameson Taillon,Victor Caratini,C.J. Cron,Jace Peterson,Kris Bryant,Manny Machado,"David Peralta,Brett Gardner,Marcell Ozuna"
2,1063710952,coachjpark,129.35,Giancarlo Stanton,OF,38.98,0,Jameson Taillon,Jose Quintana,Victor Caratini,Hanley Ramirez,Jace Peterson,Matt Duffy,Xander Bogaerts,"Mookie Betts,J.D. Martinez,Brett Gardner"
3,1063645563,bigdshaggyj,120.55,Aaron Judge,OF,35.59,12,Charlie Morton,Luke Weaver,Max Stassi,C.J. Cron,Neil Walker,Matt Davidson,Ronald Torreyes,"Giancarlo Stanton,Aaron Judge,Avisail Garcia"
4,1063544278,bradhr,119.7,Neil Walker,1B,35.59,9,Jameson Taillon,Luke Weaver,Yadier Molina,Neil Walker,Jose Altuve,Kris Bryant,Carlos Correa,"Aaron Judge,Avisail Garcia,Craig Gentry"
5,1063686014,Madindian1,119.2,Kris Bryant,3B,33.90,0,Charlie Morton,Taijuan Walker,Austin Romine,Neil Walker,Cesar Hernandez,Maikel Franco,Adeiny Hechavarria,"Rhys Hoskins,Aaron Judge,Odubel Herrera"
6,1063603883,Awesemo,116.7,Francisco Lindor,SS,32.20,0,Charlie Morton,Jake Arrieta,Jesus Sucre,C.J. Cron,Neil Walker,Matt Duffy,Daniel Robertson,"Giancarlo Stanton,Aaron Judge,Carlos Gomez"
7,1063603882,Awesemo,113.55,Willson Contreras,C,28.81,15,Charlie Morton,Luke Weaver,Andrew Knapp,Carlos Santana,Neil Walker,Miguel Andujar,J.P. Crawford,"Rhys Hoskins,Aaron Judge,Odubel Herrera"
7,1063691888,tj4ua,113.55,Brett Gardner,OF,25.42,8,Jose Quintana,Eduardo Rodriguez,Willson Contreras,Neil Walker,Ben Zobrist,Miguel Andujar,Addison Russell,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
9,1063666345,ebor1973,113.4,Charlie Morton,P,22.03,26.7,Jameson Taillon,Reynaldo Lopez,Yadier Molina,Matt Davidson,Cesar Hernandez,Maikel Franco,Xander Bogaerts,"Rhys Hoskins,Avisail Garcia,Odubel Herrera"
10,1063711612,chuck41,112.15,Mike Clevinger,P,20.34,15.3,Mike Clevinger,Jameson Taillon,Victor Caratini,Tyler Austin,Yoan Moncada,Matt Duffy,Eduardo Nunez,"Starling Marte,Brett Gardner,Marcell Ozuna"
11,1063666337,dandydon,108.55,Jordan Montgomery,P,20.34,2.55,Charlie Morton,Luke Weaver,Willson Contreras,Trey Mancini,Ben Zobrist,Kris Bryant,Addison Russell,"Aaron Judge,Albert Almora,Dexter Fowler"
12,1063575625,Bjames2262,106.85,Michael Brantley,OF,20.34,5,Mike Clevinger,Reynaldo Lopez,Austin Romine,Neil Walker,Jonathan Schoop,Miguel Andujar,Manny Machado,"Giancarlo Stanton,Aaron Judge,Trey Mancini"
13,1063677347,ehafner,106.05,Reynaldo Lopez,P,18.64,21.55,Jose Quintana,Reynaldo Lopez,Willson Contreras,Neil Walker,Ben Zobrist,Kris Bryant,Addison Russell,"Giancarlo Stanton,Brett Gardner,Albert Almora"
14,1063650764,CoachS111,98,Domingo Santana,OF,16.95,2,Charlie Morton,Mike Clevinger,Max Stassi,C.J. Cron,Jason Kipnis,Jace Peterson,Francisco Lindor,"Brett Gardner,Avisail Garcia,Nicky Delmonico"
15,1063698762,jontlevy,97.85,Jason Kipnis,2B,16.95,0,Jake Arrieta,Luke Weaver,Yan Gomes,Tyler Austin,Jose Ramirez,Maikel Franco,Francisco Lindor,"Aaron Judge,Brett Gardner,Michael Brantley"
16,1063556573,extoneagles,96.55,Jake Arrieta,P,16.95,12,Charlie Morton,Jameson Taillon,Victor Caratini,Matt Carpenter,Neil Walker,Kris Bryant,Manny Machado,"Marcell Ozuna,Tommy Pham,Dexter Fowler"
17,1063702001,Bird77,93.55,Jose Quintana,P,16.95,26.5,Charlie Morton,Luke Weaver,Welington Castillo,Carlos Santana,Cesar Hernandez,Matt Davidson,Ronald Torreyes,"Rhys Hoskins,Odubel Herrera,Dexter Fowler"
18,1063603249,bigsam92,92.15,Carlos Correa,SS,15.25,0,Mike Clevinger,Luke Weaver,Victor Caratini,Neil Walker,Jonathan Schoop,Miguel Andujar,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
18,1063693922,mkuderik,92.15,Avisail Garcia,OF,15.25,6,Mike Clevinger,Luke Weaver,Victor Caratini,Neil Walker,Jonathan Schoop,Miguel Andujar,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
20,1063583940,randoff26,91.45,Jose Ramirez,2B,15.25,4,Jameson Taillon,Trevor Richards,Max Stassi,Matt Davidson,Neil Walker,Alex Bregman,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
21,1063557409,noodles28,87.15,Victor Caratini,C,15.25,5,Mike Clevinger,Luke Weaver,Bryan Holaday,Neil Walker,Jason Kipnis,Miguel Andujar,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
22,1063672697,scout326,84.5,Xander Bogaerts,SS,15.25,3,Jake Arrieta,Jose Quintana,Austin Romine,Yonder Alonso,Jace Peterson,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Michael Brantley,Bradley Zimmer"
23,1063703509,JMason925,83.55,Edwin Encarnacion,1B,13.56,0,Charlie Morton,Luke Weaver,Yadier Molina,Yonder Alonso,Jose Ramirez,Manny Machado,Francisco Lindor,"Tommy Pham,Jose Martinez,Bradley Zimmer"
24,1063622412,drdenturedds,82.8,Maikel Franco,3B,13.56,3,Jose Quintana,Chase Anderson,Francisco Cervelli,Carlos Santana,Cesar Hernandez,Maikel Franco,Ronald Torreyes,"Giancarlo Stanton,Aaron Judge,Odubel Herrera"
25,1063677346,ehafner,82.55,Miguel Andujar,3B,13.56,14,Jake Arrieta,Reynaldo Lopez,Willson Contreras,Jose Abreu,Yoan Moncada,Kris Bryant,Addison Russell,"Avisail Garcia,Ben Zobrist,Albert Almora"
26,1063627203,BarOfSoap,82.15,Matt Davidson,1B,13.56,2,Mike Clevinger,Luke Weaver,Yan Gomes,Edwin Encarnacion,Jason Kipnis,Alex Bregman,Carlos Correa,"Josh Reddick,Michael Brantley,Derek Fisher"
27,1063679821,ChipotleAddict,82,Rhys Hoskins,OF,13.56,11,Jose Quintana,Mike Fiers,Willson Contreras,Paul Goldschmidt,Jason Kipnis,Kris Bryant,Francisco Lindor,"Kyle Schwarber,Michael Brantley,Bradley Zimmer"
28,1063614993,moklovin,81.35,Cesar Hernandez,2B,13.56,9,Jose Quintana,Luke Weaver,Willson Contreras,Neil Walker,Jason Kipnis,Kris Bryant,Francisco Lindor,"Giancarlo Stanton,Michael Brantley,Domingo Santana"
29,1063711252,kfalik,78.55,Jameson Taillon,P,11.86,40.85,Charlie Morton,Luke Weaver,Tucker Barnhart,Matt Carpenter,Neil Walker,Kris Bryant,Xander Bogaerts,"Giancarlo Stanton,Corey Dickerson,Dexter Fowler"
30,1063584369,papagates,77,Ryan Braun,OF,11.86,0,Jose Quintana,Mike Fiers,Willson Contreras,Edwin Encarnacion,Jason Kipnis,Kris Bryant,Francisco Lindor,"Kyle Schwarber,Billy Hamilton,Bradley Zimmer"
31,1063698394,Shadowzer0,74.9,Manny Machado,SS,11.86,8,Eduardo Rodriguez,Luke Weaver,Victor Caratini,Matt Carpenter,Jose Ramirez,Kris Bryant,Manny Machado,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
32,1063604899,EmpireMaker2,73.9,Dexter Fowler,OF,11.86,0,Eduardo Rodriguez,Luke Weaver,Willson Contreras,Neil Walker,Jason Kipnis,Alex Bregman,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Domingo Santana"
33,1063674459,GlennerationX,73.05,Alex Bregman,3B,11.86,0,Tyler Mahle,Reynaldo Lopez,Willson Contreras,Jose Martinez,Neil Walker,Miguel Andujar,Xander Bogaerts,"Giancarlo Stanton,Aaron Judge,J.D. Martinez"
34,1063702822,slewyyy,71.05,Eduardo Rodriguez,P,11.86,12.05,Tyler Mahle,Reynaldo Lopez,Tucker Barnhart,Neil Walker,Cesar Hernandez,Matt Davidson,Carlos Correa,"Rhys Hoskins,Aaron Judge,Brett Gardner"
35,1063584936,gridironguru999,70.4,Kyle Schwarber,OF,11.86,0,Reynaldo Lopez,Luke Weaver,Welington Castillo,Jose Abreu,Neil Walker,Matt Davidson,Francisco Lindor,"Giancarlo Stanton,Aaron Judge,Dexter Fowler"
36,1063687017,steamroller6,69.8,Addison Russell,SS,11.86,0,Mike Clevinger,Tyler Mahle,Yan Gomes,Edwin Encarnacion,Cesar Hernandez,Maikel Franco,J.P. Crawford,"Rhys Hoskins,Michael Brantley,Odubel Herrera"
37,1063627988,thequisling,69.4,Ben Zobrist,2B,11.86,17,Jordan Montgomery,Luke Weaver,Willson Contreras,Jose Abreu,Yoan Moncada,Miguel Andujar,Carlos Correa,"Aaron Judge,J.D. Martinez,Kyle Schwarber"
38,1063662348,tklein2,67.7,Jose Altuve,2B,10.17,0,Charlie Morton,Jake Arrieta,Yadier Molina,Jose Martinez,Cesar Hernandez,Eugenio Suarez,Manny Machado,"Marcell Ozuna,Nicky Delmonico,Jesse Winker"
39,1063666082,Jeaymack,66.15,Yan Gomes,C,10.17,16,Mike Clevinger,Luke Weaver,Welington Castillo,Jose Abreu,Neil Walker,Matt Davidson,Manny Machado,"J.D. Martinez,Avisail Garcia,Dexter Fowler"
40,1063584368,papagates,64.5,Marcell Ozuna,OF,10.17,3,Jake Arrieta,Jose Quintana,Willson Contreras,Joey Votto,Scooter Gennett,Kris Bryant,Jose Peraza,"Kyle Schwarber,Billy Hamilton,Bradley Zimmer"
41,1063610271,PapaAce,64.05,J.D. Martinez,OF,10.17,0,Jake Arrieta,Eduardo Rodriguez,Yan Gomes,Jose Martinez,Jason Kipnis,Rafael Devers,Xander Bogaerts,"J.D. Martinez,Marcell Ozuna,Michael Brantley"
42,1063703043,kfalik,63.55,Jose Abreu,1B,10.17,2,Jake Arrieta,Jordan Montgomery,Victor Caratini,Edwin Encarnacion,Jose Altuve,Matt Duffy,Xander Bogaerts,"Giancarlo Stanton,Ben Zobrist,Corey Dickerson"
43,1063547763,ararat73,63.15,Welington Castillo,C,10.17,0,Mike Clevinger,Luke Weaver,Yan Gomes,Edwin Encarnacion,Jose Ramirez,Eugenio Suarez,Francisco Lindor,"Ryan Braun,Domingo Santana,Hernan Perez"
44,1063672696,scout326,61.35,Odubel Herrera,OF,10.17,12,Jose Quintana,Luke Weaver,Welington Castillo,Jose Abreu,Jose Altuve,Alex Bregman,Carlos Correa,"George Springer,Avisail Garcia,Leury Garcia"
45,1063582220,DraftCheat,59.85,Tyler Mahle,P,10.17,-1.5,Mike Clevinger,Jordan Montgomery,Willson Contreras,Jesus Aguilar,Ben Zobrist,Kris Bryant,Addison Russell,"Lorenzo Cain,Ryan Braun,Domingo Santana"
46,1063666772,solsoxx,59.2,Yadier Molina,C,8.47,5,Charlie Morton,Tyler Mahle,Welington Castillo,Tyler Austin,Yolmer Sanchez,Maikel Franco,Carlos Correa,"Rhys Hoskins,Tommy Pham,Rob Refsnyder"
47,1063552337,bradhr,58.1,Bradley Zimmer,OF,8.47,9,Reynaldo Lopez,Jordan Montgomery,Yadier Molina,Edwin Encarnacion,Jose Altuve,Maikel Franco,Carlos Correa,"Aaron Judge,Brett Gardner,Avisail Garcia"
47,1063572853,wakeywakey,58.1,Jose Martinez,1B,8.47,0,Reynaldo Lopez,Jordan Montgomery,Willson Contreras,Ryan Braun,Ben Zobrist,Kris Bryant,Addison Russell,"Giancarlo Stanton,Kyle Schwarber,Domingo Santana"
49,1063569638,noodles28,57.05,Tommy Pham,OF,6.78,2,Taijuan Walker,Jordan Montgomery,Victor Caratini,Mitch Moreland,Jose Altuve,Alex Bregman,Xander Bogaerts,"Mookie Betts,J.D. Martinez,Andrew Benintendi"
50,1063598008,Caysch,53.05,Max Stassi,C,6.78,18,Jake Arrieta,Eduardo Rodriguez,Welington Castillo,Jose Abreu,Neil Walker,Alex Bregman,Xander Bogaerts,"Andrew Benintendi,Avisail Garcia,Domingo Santana"
51,1063612349,mrgoodseats,52.4,Matt Duffy,3B,6.78,10,Jordan Montgomery,Luke Weaver,Willson Contreras,Joey Votto,Jose Ramirez,Kris Bryant,Francisco Lindor,"Giancarlo Stanton,Michael Brantley,Domingo Santana"
51,1063612459,mrgoodseats,52.4,C.J. Cron,1B,6.78,16,Jordan Montgomery,Luke Weaver,Willson Contreras,Ryan Braun,Jose Ramirez,Kris Bryant,Francisco Lindor,"Giancarlo Stanton,Michael Brantley,Domingo Santana"
53,1063703405,NAGELJO,51.85,Yoan Moncada,2B,6.78,0,Mike Clevinger,Jordan Montgomery,Max Stassi,Yonder Alonso,Yoan Moncada,Maikel Franco,Francisco Lindor,"George Springer,Michael Brantley,Dexter Fowler"
54,1063668676,Hamre,51.35,Jace Peterson,3B,6.78,6,Tyler Mahle,Luke Weaver,Yan Gomes,Edwin Encarnacion,Jason Kipnis,Kris Bryant,Francisco Lindor,"Giancarlo Stanton,Brett Gardner,Michael Brantley"
55,1063703641,jksmlmf,48.1,Matt Carpenter,1B,5.08,2,Reynaldo Lopez,Jordan Montgomery,Willson Contreras,Jose Martinez,Jose Ramirez,Kris Bryant,Carlos Correa,"Kyle Schwarber,Ryan Braun,Michael Brantley"
56,1063679822,ChipotleAddict,42.55,George Springer,OF,5.08,3,Jake Arrieta,Jordan Montgomery,Willson Contreras,Ryan Braun,Jonathan Villar,Kris Bryant,Addison Russell,"Kyle Schwarber,Lorenzo Cain,Domingo Santana"
57,1063572818,wakeywakey,40.6,Jonathan Schoop,2B,5.08,5,Eduardo Rodriguez,Reynaldo Lopez,Manny Pina,Jesus Aguilar,Jose Altuve,Alex Bregman,Carlos Correa,"George Springer,Ryan Braun,Domingo Santana"
58,1063670137,TuttKing,37.55,Austin Romine,C,5.08,17,Eduardo Rodriguez,Tyler Mahle,Evan Gattis,Matt Davidson,Cesar Hernandez,Kris Bryant,Xander Bogaerts,"Rhys Hoskins,Tommy Pham,Jesse Winker"
59,1063701973,perkinpat,33.4,Carlos Santana,1B,5.08,2,Jordan Montgomery,Luke Weaver,Evan Gattis,Edwin Encarnacion,Jason Kipnis,Jose Ramirez,Francisco Lindor,"Giancarlo Stanton,Ian Happ,Marcell Ozuna"
,,,,Ronald Torreyes,SS,5.08,7,,,,,,,,
,,,,Albert Almora Jr.,OF,5.08,9,,,,,,,,
,,,,Tyler Austin,1B,5.08,14,,,,,,,,
,,,,Yonder Alonso,1B,5.08,5,,,,,,,,
,,,,Eugenio Suarez,3B,3.39,2,,,,,,,,
,,,,Taijuan Walker,P,3.39,14.5,,,,,,,,
,,,,Mookie Betts,OF,3.39,16,,,,,,,,
,,,,Andrew Benintendi,OF,3.39,7,,,,,,,,
,,,,Jesus Aguilar,1B,3.39,2,,,,,,,,
,,,,Trey Mancini,OF,3.39,5,,,,,,,,
,,,,Lorenzo Cain,OF,3.39,6,,,,,,,,
,,,,Joey Votto,1B,3.39,0,,,,,,,,
,,,,Billy Hamilton,OF,3.39,0,,,,,,,,
,,,,Mike Fiers,P,3.39,26.5,,,,,,,,
,,,,J.P. Crawford,SS,3.39,0,,,,,,,,
,,,,Nicky Delmonico,OF,3.39,2,,,,,,,,
,,,,Jesse Winker,OF,3.39,0,,,,,,,,
,,,,Evan Gattis,C,3.39,0,,,,,,,,
,,,,Tucker Barnhart,C,3.39,0,,,,,,,,
,,,,Corey Dickerson,OF,3.39,14,,,,,,,,
,,,,Craig Gentry,OF,1.69,23,,,,,,,,
,,,,Hernan Perez,OF,1.69,0,,,,,,,,
,,,,Bryan Holaday,C,1.69,5,,,,,,,,
,,,,Mitch Moreland,1B,1.69,9,,,,,,,,
,,,,Manny Pina,C,1.69,0,,,,,,,,
,,,,Trevor Richards,P,1.69,1.6,,,,,,,,
,,,,Scooter Gennett,2B,1.69,2,,,,,,,,
,,,,Jose Peraza,SS,1.69,0,,,,,,,,
,,,,Andrew Knapp,C,1.69,3,,,,,,,,
,,,,Carlos Gomez,OF,1.69,10,,,,,,,,
,,,,Daniel Robertson,SS,1.69,19,,,,,,,,
,,,,Jesus Sucre,C,1.69,2,,,,,,,,
,,,,Rafael Devers,3B,1.69,13,,,,,,,,
,,,,Chase Anderson,P,1.69,9.3,,,,,,,,
,,,,Francisco Cervelli,C,1.69,2,,,,,,,,
,,,,Josh Reddick,OF,1.69,19,,,,,,,,
,,,,Derek Fisher,OF,1.69,3,,,,,,,,
,,,,Yolmer Sanchez,2B,1.69,0,,,,,,,,
,,,,Rob Refsnyder,OF,1.69,4,,,,,,,,
,,,,Leury Garcia,OF,1.69,0,,,,,,,,
,,,,Paul Goldschmidt,1B,1.69,0,,,,,,,,
