Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1063181733,pup0082,0,152.35,P Jameson Taillon P Mike Fiers OF Aaron Judge OF Mookie Betts SS Xander Bogaerts 3B Rafael Devers OF Brett Gardner 1B Tyler Austin 2B Neil Walker C Christian Vázquez,,Luke Weaver,P,41.60%,23.85
2,1063323899,kdebo,0,142.4,P Jameson Taillon P Reynaldo López OF Mookie Betts OF J.D. Martinez SS Xander Bogaerts 3B Rafael Devers OF Brett Gardner 1B Tyler Austin 2B Neil Walker C Austin Romine,,Aaron Judge,OF,28.20%,12
3,1063067621,csynnest,0,140.55,P Charlie Morton P Jameson Taillon 1B Hanley Ramirez OF David Peralta SS Tim Anderson OF Brett Gardner 2B Neil Walker 3B Yolmer Sánchez OF Carlos Gómez C Bryan Holaday,,Kris Bryant,3B,27.60%,0
4,1063549804,sm1tty,0,139.55,P Charlie Morton P Jameson Taillon OF David Peralta OF Josh Reddick 1B Josh Bell 2B Jason Kipnis OF Corey Dickerson 3B Colin Moran C Francisco Cervelli SS Jordy Mercer,,Giancarlo Stanton,OF,27.60%,0
5,1063496418,mgaines,0,139.4,P Jameson Taillon P Reynaldo López OF Giancarlo Stanton OF Rhys Hoskins OF Aaron Judge 3B Manny Machado C Yadier Molina 1B C.J. Cron 2B Ronald Torreyes SS Miguel Rojas,,Neil Walker,1B,27.40%,9
6,1063544416,OldBonebags,0,138.55,P Charlie Morton P Jameson Taillon OF Aaron Judge SS Manny Machado OF Adam Jones OF Michael Brantley 2B Jonathan Schoop 1B Trey Mancini 3B Danny Valencia C Bryan Holaday,,Charlie Morton,P,25.20%,26.7
7,1063536945,REDCOAT85 (12/15),0,138.2,P Charlie Morton P José Quintana OF Aaron Judge C Willson Contreras SS Addison Russell OF Michael Brantley 2B Ben Zobrist 3B Matt Duffy OF Carlos Gómez 1B C.J. Cron,,Carlos Correa,SS,24.40%,0
8,1063477820,ehafner (14/15),0,137.4,P Jameson Taillon P Reynaldo López 3B Kris Bryant OF Gregory Polanco C Willson Contreras 1B Josh Bell 2B Josh Harrison SS Addison Russell OF Ben Zobrist OF Albert Almora Jr.,,Francisco Lindor,SS,24.20%,0
9,1063109989,shawnzhan (14/15),0,130.2,P Charlie Morton P Mike Fiers OF Giancarlo Stanton 1B Edwin Encarnacion SS Manny Machado C Willson Contreras 2B Jonathan Schoop OF Trey Mancini 3B Danny Valencia OF Anthony Santander,,Willson Contreras,C,24.00%,15
10,1063253091,dandydon (5/5),0,128.55,P Charlie Morton P Luke Weaver 3B Kris Bryant OF Kyle Schwarber SS Manny Machado C Willson Contreras 2B Ben Zobrist 1B Trey Mancini OF Albert Almora Jr. OF Anthony Santander,,José Quintana,P,23.20%,26.5
11,1063485382,ilikepie123 (1/2),0,127.55,P Charlie Morton P Jameson Taillon 3B Kris Bryant SS Manny Machado OF Adam Jones 2B Jonathan Schoop OF Ben Zobrist 1B Trey Mancini OF Albert Almora Jr. C Victor Caratini,,José Ramírez,3B,21.20%,4
12,1063184361,crump11 (1/3),0,126.55,P Charlie Morton P Jameson Taillon OF Aaron Judge OF Brett Gardner OF Marcell Ozuna 3B Maikel Franco 1B José Martínez 2B Neil Walker SS Ronald Torreyes C Austin Romine,,Jordan Montgomery,P,19.60%,2.55
13,1063186495,jaysmov1,0,125.7,P Jameson Taillon P Luke Weaver OF Rhys Hoskins OF Aaron Judge SS Francisco Lindor 1B Carlos Santana OF Brett Gardner 2B César Hernández 3B Miguel Andújar C Victor Caratini,,Reynaldo López,P,18.60%,21.55
13,1063505766,Bianchibear03,0,125.7,P Jameson Taillon P Luke Weaver OF Giancarlo Stanton OF Rhys Hoskins OF Aaron Judge 2B César Hernández 3B Maikel Franco 1B Neil Walker SS J.P. Crawford C Austin Romine,,Brett Gardner,OF,18.20%,8
15,1063477814,ehafner (8/15),0,125.4,P Reynaldo López P Luke Weaver OF Mookie Betts 3B Kris Bryant OF J.D. Martinez 1B Hanley Ramirez C Willson Contreras SS Eduardo Núñez 2B Ben Zobrist OF Albert Almora Jr.,,Jake Arrieta,P,17.80%,12
16,1063190868,crump11 (3/3),0,124.55,P Charlie Morton P Jameson Taillon OF Mookie Betts SS Xander Bogaerts 3B Maikel Franco OF José Martínez 2B Neil Walker 1B Mitch Moreland OF Leury García C Austin Romine,,Alex Bregman,3B,17.80%,0
17,1063108458,youdacao (4/15),0,123.55,P Charlie Morton P Luke Weaver OF Giancarlo Stanton SS Manny Machado C Willson Contreras OF Adam Jones 2B Jonathan Schoop 1B Trey Mancini OF Albert Almora Jr. 3B Danny Valencia,,Eduardo Rodríguez,P,17.40%,12.05
18,1063467307,Awesemo (12/15),0,123.5,P Jake Arrieta P José Quintana OF Giancarlo Stanton OF Aaron Judge SS Manny Machado 1B Tyler Austin 2B Neil Walker OF Trey Mancini 3B Danny Valencia C Austin Romine,,José Altuve,2B,16.00%,0
19,1063523555,fantasyfever (9/9),0,122.5,P Jake Arrieta P José Quintana OF Aaron Judge 1B Hanley Ramirez 3B Manny Machado OF Adam Jones 2B Jonathan Schoop SS Tim Beckham OF Trey Mancini C Austin Romine,,Michael Brantley,OF,15.40%,5
20,1063438195,tinderella (4/6),0,121.2,P Charlie Morton P José Quintana OF Giancarlo Stanton SS Francisco Lindor OF Michael Brantley 1B Tyler Austin 2B Neil Walker OF Bradley Zimmer 3B Miguel Andújar C Austin Romine,,Ben Zobrist,2B,15.40%,17
21,1063424512,jimmy0923 (1/2),0,120.7,P Jameson Taillon P Luke Weaver OF J.D. Martinez SS Francisco Lindor 2B José Ramírez 1B Hanley Ramirez 3B Manny Machado C Yan Gomes OF Trey Mancini OF Albert Almora Jr.,,José Abreu,1B,15.40%,2
21,1063499670,Sqweatybalz,0,120.7,P Jameson Taillon P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Xander Bogaerts OF Brett Gardner C Welington Castillo 1B Tyler Austin 2B Neil Walker 3B Matt Duffy,,Welington Castillo,C,15.40%,0
23,1063182327,wcdenin24 (6/8),0,120.55,P Charlie Morton P Jameson Taillon SS Francisco Lindor 2B Jason Kipnis OF Michael Brantley C Welington Castillo 3B Matt Duffy OF Kevin Kiermaier OF Carlos Gómez 1B C.J. Cron,,Jason Kipnis,2B,13.20%,0
24,1063240197,bradhr (2/2),0,119.7,P Jameson Taillon P Luke Weaver 2B José Altuve OF Aaron Judge 3B Kris Bryant SS Carlos Correa OF Avisaíl García C Yadier Molina 1B Neil Walker OF Craig Gentry,,Avisaíl García,OF,13.00%,6
24,1063285102,GS30,0,119.7,P Jameson Taillon P Luke Weaver OF Aaron Judge 3B José Ramírez SS Manny Machado OF Lorenzo Cain 1B Ryan Braun OF Adam Jones C Yadier Molina 2B Neil Walker,,Rhys Hoskins,OF,12.80%,11
24,1063294651,EMSBRO,0,119.7,P Jameson Taillon P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Carlos Correa C Willson Contreras OF Brett Gardner 2B Jonathan Schoop 1B Neil Walker 3B Jace Peterson,,Kyle Schwarber,OF,12.60%,0
27,1063107693,wcdenin24 (2/8),0,119.55,P Charlie Morton P Jameson Taillon SS Francisco Lindor 2B Jason Kipnis OF Michael Brantley C Yan Gomes OF Domingo Santana 1B Neil Walker 3B Matt Duffy OF Carlos Gómez,,George Springer,OF,12.60%,3
28,1063362695,jaker1soe (1/2),0,119.25,P Charlie Morton P Reynaldo López OF George Springer SS Manny Machado OF Josh Reddick OF Adam Jones C Evan Gattis 2B Jonathan Schoop 1B Trey Mancini 3B Danny Valencia,,Manny Machado,SS,12.60%,8
