Rank,EntryId,EntryName,Points,Player,Roster Position,Drafted,FPTS,,,,,,,,
1,1063181733,pup0082,152.35,Luke Weaver,P,41.60,23.85,Jameson Taillon,Mike Fiers,Christian Vazquez,Tyler Austin,Neil Walker,Rafael Devers,Xander Bogaerts,"Aaron Judge,Mookie Betts,Brett Gardner"
2,1063323899,kdebo,142.4,Aaron Judge,OF,28.20,12,Jameson Taillon,Reynaldo Lopez,Austin Romine,Tyler Austin,Neil Walker,Rafael Devers,Xander Bogaerts,"Mookie Betts,J.D. Martinez,Brett Gardner"
3,1063067621,csynnest,140.55,Kris Bryant,3B,27.60,0,Charlie Morton,Jameson Taillon,Bryan Holaday,Hanley Ramirez,Neil Walker,Yolmer Sanchez,Tim Anderson,"David Peralta,Brett Gardner,Carlos Gomez"
4,1063549804,sm1tty,139.55,Giancarlo Stanton,OF,27.60,0,Charlie Morton,Jameson Taillon,Francisco Cervelli,Josh Bell,Jason Kipnis,Colin Moran,Jordy Mercer,"David Peralta,Josh Reddick,Corey Dickerson"
5,1063496418,mgaines,139.4,Neil Walker,1B,27.40,9,Jameson Taillon,Reynaldo Lopez,Yadier Molina,C.J. Cron,Ronald Torreyes,Manny Machado,Miguel Rojas,"Giancarlo Stanton,Rhys Hoskins,Aaron Judge"
6,1063544416,OldBonebags,138.55,Charlie Morton,P,25.20,26.7,Charlie Morton,Jameson Taillon,Bryan Holaday,Trey Mancini,Jonathan Schoop,Danny Valencia,Manny Machado,"Aaron Judge,Adam Jones,Michael Brantley"
7,1063536945,REDCOAT85,138.2,Carlos Correa,SS,24.40,0,Charlie Morton,Jose Quintana,Willson Contreras,C.J. Cron,Ben Zobrist,Matt Duffy,Addison Russell,"Aaron Judge,Michael Brantley,Carlos Gomez"
8,1063477820,ehafner,137.4,Francisco Lindor,SS,24.20,0,Jameson Taillon,Reynaldo Lopez,Willson Contreras,Josh Bell,Josh Harrison,Kris Bryant,Addison Russell,"Gregory Polanco,Ben Zobrist,Albert Almora"
9,1063109989,shawnzhan,130.2,Willson Contreras,C,24.00,15,Charlie Morton,Mike Fiers,Willson Contreras,Edwin Encarnacion,Jonathan Schoop,Danny Valencia,Manny Machado,"Giancarlo Stanton,Trey Mancini,Anthony Santander"
10,1063253091,dandydon,128.55,Jose Quintana,P,23.20,26.5,Charlie Morton,Luke Weaver,Willson Contreras,Trey Mancini,Ben Zobrist,Kris Bryant,Manny Machado,"Kyle Schwarber,Albert Almora,Anthony Santander"
11,1063485382,ilikepie123,127.55,Jose Ramirez,3B,21.20,4,Charlie Morton,Jameson Taillon,Victor Caratini,Trey Mancini,Jonathan Schoop,Kris Bryant,Manny Machado,"Adam Jones,Ben Zobrist,Albert Almora"
12,1063184361,crump11,126.55,Jordan Montgomery,P,19.60,2.55,Charlie Morton,Jameson Taillon,Austin Romine,Jose Martinez,Neil Walker,Maikel Franco,Ronald Torreyes,"Aaron Judge,Brett Gardner,Marcell Ozuna"
