Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1063200121,Bianchibear03,0,125.7,P Jameson Taillon P Luke Weaver OF Giancarlo Stanton OF Rhys Hoskins OF Aaron Judge 2B César Hernández 3B Maikel Franco 1B Neil Walker SS J.P. Crawford C Austin Romine,,Luke Weaver,P,52.86%,23.85
1,1063383148,monds6 (1/2),0,125.7,P Jameson Taillon P Luke Weaver 2B José Altuve 3B Kris Bryant SS Carlos Correa OF Josh Reddick 1B Marwin González OF Tommy Pham OF Ben Zobrist C Max Stassi,,Kris Bryant,3B,41.43%,0
3,1063433702,jimmy0923,0,120.7,P Jameson Taillon P Luke Weaver OF J.D. Martinez SS Francisco Lindor 2B José Ramírez 1B Hanley Ramirez 3B Manny Machado C Yan Gomes OF Trey Mancini OF Albert Almora Jr.,,Willson Contreras,C,32.86%,15
4,1063343260,mw0315,0,115.4,P Jameson Taillon P Reynaldo López OF Aaron Judge SS Carlos Correa 3B Matt Davidson 1B José Abreu OF Brett Gardner 2B Neil Walker OF Nicky Delmonico C Max Stassi,,Carlos Correa,SS,32.86%,0
5,1063483420,Notorious,0,112.55,P Charlie Morton P Luke Weaver SS Carlos Correa OF George Springer OF Josh Reddick OF Marcell Ozuna C Evan Gattis 1B Tyler Austin 2B Neil Walker 3B Miguel Andújar,,Giancarlo Stanton,OF,30.00%,0
6,1063385541,hoop2410,0,111.55,P Charlie Morton P Luke Weaver SS Carlos Correa OF George Springer 3B Alex Bregman OF Josh Reddick OF Brett Gardner 2B Ben Zobrist 1B Neil Walker C Victor Caratini,,Neil Walker,1B,30.00%,9
7,1063516297,Omnipoint (2/2),0,110.55,P Charlie Morton P Luke Weaver OF Aaron Judge 3B Kris Bryant OF Brett Gardner SS Addison Russell 1B Tyler Austin OF Ben Zobrist 2B Neil Walker C Tucker Barnhart,,Francisco Lindor,SS,27.14%,0
8,1063464766,hencoup,0,109.7,P Jameson Taillon P Luke Weaver OF Giancarlo Stanton 2B José Altuve OF Aaron Judge SS Carlos Correa 3B Alex Bregman 1B Neil Walker C Austin Romine OF Braxton Lee,,Charlie Morton,P,25.71%,26.7
9,1063467460,Awesemo (1/2),0,109.35,P Mike Fiers P Luke Weaver 2B José Altuve 3B Kris Bryant SS Carlos Correa OF George Springer C Willson Contreras OF Josh Reddick 1B Marwin González OF Ben Zobrist,,Brett Gardner,OF,24.29%,8
10,1063253055,dandydon (1/2),0,108.55,P Charlie Morton P Luke Weaver OF Aaron Judge 3B Kris Bryant C Willson Contreras SS Addison Russell 2B Ben Zobrist 1B Trey Mancini OF Albert Almora Jr. OF Dexter Fowler,,José Altuve,2B,24.29%,0
11,1063113156,youdacao (2/2),0,108.35,P José Quintana P Luke Weaver OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant C Willson Contreras SS Addison Russell 2B Ben Zobrist 1B Trey Mancini OF Albert Almora Jr.,,Aaron Judge,OF,22.86%,12
12,1063383175,monds6 (2/2),0,106.55,P Charlie Morton P Luke Weaver OF Giancarlo Stanton OF Aaron Judge 3B Manny Machado OF Brett Gardner 1B Tyler Austin 2B Neil Walker SS J.P. Crawford C Victor Caratini,,Michael Brantley,OF,21.43%,5
13,1063477806,ehafner (2/2),0,106.05,P José Quintana P Reynaldo López OF Giancarlo Stanton 3B Kris Bryant C Willson Contreras OF Brett Gardner SS Addison Russell 2B Ben Zobrist 1B Neil Walker OF Albert Almora Jr.,,José Quintana,P,20.00%,26.5
14,1063427559,MFedorak1982 (1/2),0,104.85,P Jake Arrieta P Jameson Taillon OF Rhys Hoskins 1B Carlos Santana 2B César Hernández 3B Mike Moustakas C Welington Castillo OF Odúbel Herrera SS Nick Ahmed OF Nick Williams,,Jordan Montgomery,P,20.00%,2.55
15,1063428723,tonybalony (1/2),0,103.75,P Jameson Taillon P Mike Wright Jr. 2B José Altuve SS Carlos Correa 3B José Ramírez OF Starling Marte OF Josh Reddick 1B Josh Bell OF Corey Dickerson C Max Stassi,,Jason Kipnis,2B,18.57%,0
16,1063386570,jontlevy,0,97.85,P Jake Arrieta P Luke Weaver OF Aaron Judge SS Francisco Lindor 2B José Ramírez OF Brett Gardner 3B Maikel Franco OF Michael Brantley 1B Tyler Austin C Yan Gomes,,Alex Bregman,3B,18.57%,0
17,1063506287,Vongole (2/2),0,97.35,P Jameson Taillon P José Quintana 3B Kris Bryant SS Francisco Lindor 1B Edwin Encarnacion OF Michael Brantley 2B Neil Walker OF Corey Dickerson OF Dexter Fowler C Francisco Cervelli,,José Ramírez,3B,18.57%,4
18,1063423603,wilson1 (1/2),0,96.55,P Charlie Morton P Luke Weaver 2B José Altuve SS Carlos Correa 3B Alex Bregman OF Brett Gardner OF Domingo Santana 1B Neil Walker OF Albert Almora Jr. C Max Stassi,,Ben Zobrist,2B,18.57%,17
19,1063253056,dandydon (2/2),0,95.55,P Charlie Morton P Luke Weaver 3B Kris Bryant OF Ryan Braun C Willson Contreras SS Addison Russell 1B Jesús Aguilar OF Domingo Santana 2B Ben Zobrist OF Albert Almora Jr.,,Addison Russell,SS,17.14%,0
20,1063428724,tonybalony (2/2),0,95,P Charlie Morton P Mike Clevinger SS Xander Bogaerts OF Marcell Ozuna OF Avisaíl García OF Michael Brantley 1B Mitch Moreland C Max Stassi 2B Niko Goodrum 3B Daniel Descalso,,Albert Almora Jr.,OF,15.71%,9
21,1063427589,MFedorak1982 (2/2),0,88.6,P Eduardo Rodríguez P Reynaldo López OF Mookie Betts OF J.D. Martinez OF Andrew Benintendi SS Xander Bogaerts 1B Hanley Ramirez 3B Mike Moustakas 2B Neil Walker C Tucker Barnhart,,Domingo Santana,OF,14.29%,2
22,1063453072,JBP126,0,87.15,P Mike Clevinger P Luke Weaver OF Giancarlo Stanton OF Rhys Hoskins SS Xander Bogaerts 3B Maikel Franco 1B Tyler Austin 2B Neil Walker OF Nick Williams C Andrew Knapp,,Eduardo Rodríguez,P,14.29%,12.05
23,1063438209,tinderella,0,86.8,P Mike Clevinger P José Quintana 3B Kris Bryant C Willson Contreras SS Addison Russell OF Tommy Pham 2B Ben Zobrist 1B Matt Carpenter OF Albert Almora Jr. OF Dexter Fowler,,Dexter Fowler,OF,14.29%,0
24,1063458445,gentlaw2,0,86.75,P Jameson Taillon P Mike Wright Jr. OF Rhys Hoskins 1B Edwin Encarnacion OF Starling Marte SS Manny Machado 2B Josh Harrison OF Adam Jones 3B Maikel Franco C Welington Castillo,,Reynaldo López,P,14.29%,21.55
25,1063455629,thekdogg (1/2),0,85.9,P Eduardo Rodríguez P Luke Weaver 2B José Altuve OF J.D. Martinez SS Carlos Correa OF George Springer OF Josh Reddick C Evan Gattis 1B Tyler Austin 3B Miguel Andújar,,Kyle Schwarber,OF,12.86%,0
26,1063504317,Ebone17,0,85.55,P Charlie Morton P Luke Weaver OF Aaron Judge SS Francisco Lindor 3B José Ramírez OF Brett Gardner 2B Neil Walker 1B Matt Carpenter OF Dexter Fowler C Tucker Barnhart,,Jake Arrieta,P,12.86%,12
27,1063492844,madtownman,0,85,P Charlie Morton P Mike Clevinger SS Manny Machado OF Lorenzo Cain 2B Jonathan Schoop 1B Jesús Aguilar OF Domingo Santana C Manny Piña 3B Danny Valencia OF Hernán Pérez,,George Springer,OF,12.86%,3
