Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1063246730,dandydon,0,108.55,P Charlie Morton P Luke Weaver OF Aaron Judge 3B Kris Bryant C Willson Contreras SS Addison Russell 2B Ben Zobrist 1B Trey Mancini OF Albert Almora Jr. OF Dexter Fowler,,Luke Weaver,P,60.00%,23.85
2,1063108502,youdacao,0,108.35,P Jos? Quintana P Luke Weaver OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant C Willson Contreras SS Addison Russell 2B Ben Zobrist 1B Trey Mancini OF Albert Almora Jr.,,Kris Bryant,3B,60.00%,0
3,1063483459,Tommyg1979,0,96.6,P Eduardo Rodr?guez P Reynaldo L?pez OF Mookie Betts OF J.D. Martinez OF Andrew Benintendi 2B Jos? Ram?rez SS Xander Bogaerts 1B Hanley Ramirez 3B Miguel And?jar C Victor Caratini,,Willson Contreras,C,50.00%,15
4,1063467471,Awesemo,0,91.55,P Jake Arrieta P Reynaldo L?pez OF Rhys Hoskins 3B Kris Bryant 1B Carlos Santana C Willson Contreras 2B C?sar Hern?ndez OF Od?bel Herrera OF Albert Almora Jr. SS J.P. Crawford,,Addison Russell,SS,40.00%,0
5,1063477804,ehafner,0,82.55,P Jake Arrieta P Reynaldo L?pez 3B Kris Bryant 1B Jos? Abreu C Willson Contreras 2B Yo?n Moncada SS Addison Russell OF Avisa?l Garc?a OF Ben Zobrist OF Albert Almora Jr.,,Albert Almora Jr.,OF,40.00%,9
6,1063176091,moklovin,0,81.35,P Jos? Quintana P Luke Weaver OF Giancarlo Stanton 3B Kris Bryant SS Francisco Lindor C Willson Contreras 2B Jason Kipnis OF Michael Brantley OF Domingo Santana 1B Neil Walker,,Reynaldo L?pez,P,40.00%,21.55
7,1063129985,jmwhsc,0,79.35,P Mike Fiers P Luke Weaver OF Giancarlo Stanton 2B Jos? Altuve OF Aaron Judge SS Carlos Correa OF George Springer 3B Alex Bregman 1B Neil Walker C Victor Caratini,,Giancarlo Stanton,OF,30.00%,0
8,1063385350,tastefultides,0,67.55,P Charlie Morton P Luke Weaver 3B Kris Bryant 1B Edwin Encarnacion OF Kyle Schwarber 2B Jason Kipnis SS Addison Russell OF Michael Brantley OF Jason Heyward C Victor Caratini,,Aaron Judge,OF,30.00%,12
9,1063455576,thekdogg,0,66.9,P Eduardo Rodr?guez P Luke Weaver 2B Jos? Altuve SS Carlos Correa OF George Springer 3B Jos? Ram?rez OF Josh Reddick OF Michael Brantley C Evan Gattis 1B Eric Hosmer,,Ben Zobrist,2B,30.00%,17
10,1063356496,wakeywakey,0,40.6,P Eduardo Rodr?guez P Reynaldo L?pez 2B Jos? Altuve SS Carlos Correa OF George Springer OF Ryan Braun 3B Alex Bregman 1B Jes?s Aguilar OF Domingo Santana C Manny Pi?a,,Jos? Altuve,2B,30.00%,0
,,,,,,,Carlos Correa,SS,30.00%,0
,,,,,,,George Springer,OF,30.00%,3
,,,,,,,Victor Caratini,C,30.00%,5
,,,,,,,Michael Brantley,OF,30.00%,5
,,,,,,,Eduardo Rodr?guez,P,30.00%,12.05
,,,,,,,Jos? Quintana,P,20.00%,26.5
,,,,,,,Trey Mancini,1B,20.00%,5
,,,,,,,Alex Bregman,3B,20.00%,0
,,,,,,,Neil Walker,1B,20.00%,9
,,,,,,,Jason Kipnis,2B,20.00%,0
,,,,,,,Domingo Santana,OF,20.00%,2
,,,,,,,Charlie Morton,P,20.00%,26.7
,,,,,,,Jos? Ram?rez,3B,20.00%,4
,,,,,,,Jake Arrieta,P,20.00%,12
,,,,,,,Mike Fiers,P,10.00%,26.5
,,,,,,,Francisco Lindor,SS,10.00%,0
,,,,,,,Dexter Fowler,OF,10.00%,0
,,,,,,,Ryan Braun,OF,10.00%,0
,,,,,,,Jes?s Aguilar,1B,10.00%,2
,,,,,,,Manny Pi?a,C,10.00%,0
,,,,,,,Edwin Encarnacion,1B,10.00%,0
,,,,,,,Kyle Schwarber,OF,10.00%,0
,,,,,,,Jason Heyward,OF,10.00%,7
,,,,,,,Josh Reddick,OF,10.00%,19
,,,,,,,Evan Gattis,C,10.00%,0
,,,,,,,Eric Hosmer,1B,10.00%,0
,,,,,,,Rhys Hoskins,OF,10.00%,11
,,,,,,,Carlos Santana,1B,10.00%,2
,,,,,,,C?sar Hern?ndez,2B,10.00%,9
,,,,,,,Od?bel Herrera,OF,10.00%,12
,,,,,,,J.P. Crawford,SS,10.00%,0
,,,,,,,Jos? Abreu,1B,10.00%,2
,,,,,,,Yo?n Moncada,2B,10.00%,0
,,,,,,,Avisa?l Garc?a,OF,10.00%,6
,,,,,,,Mookie Betts,OF,10.00%,16
,,,,,,,J.D. Martinez,OF,10.00%,0
,,,,,,,Andrew Benintendi,OF,10.00%,7
,,,,,,,Xander Bogaerts,SS,10.00%,3
,,,,,,,Hanley Ramirez,1B,10.00%,14
,,,,,,,Miguel And?jar,3B,10.00%,14
