Rank,EntryId,EntryName,Points,Player,Roster Position,Drafted,FPTS,,,,,,,,
1,1063246730,dandydon,108.55,Luke Weaver,P,60.00,23.85,Charlie Morton,Luke Weaver,Willson Contreras,Trey Mancini,Ben Zobrist,Kris Bryant,Addison Russell,"Aaron Judge,Albert Almora,Dexter Fowler"
2,1063108502,youdacao,108.35,Kris Bryant,3B,60.00,0,Jos? Quintana,Luke Weaver,Willson Contreras,Trey Mancini,Ben Zobrist,Kris Bryant,Addison Russell,"Giancarlo Stanton,Aaron Judge,Albert Almora"
3,1063483459,Tommyg1979,96.6,Willson Contreras,C,50.00,15,Eduardo Rodr?guez,Reynaldo L?pez,Victor Caratini,Hanley Ramirez,Jos? Ram?rez,Miguel And?jar,Xander Bogaerts,"Mookie Betts,J.D. Martinez,Andrew Benintendi"
4,1063467471,Awesemo,91.55,Addison Russell,SS,40.00,0,Jake Arrieta,Reynaldo L?pez,Willson Contreras,Carlos Santana,C?sar Hern?ndez,Kris Bryant,J.P. Crawford,"Rhys Hoskins,Od?bel Herrera,Albert Almora"
5,1063477804,ehafner,82.55,Albert Almora Jr.,OF,40.00,9,Jake Arrieta,Reynaldo L?pez,Willson Contreras,Jos? Abreu,Yo?n Moncada,Kris Bryant,Addison Russell,"Avisa?l Garc?a,Ben Zobrist,Albert Almora"
6,1063176091,moklovin,81.35,Reynaldo L?pez,P,40.00,21.55,Jos? Quintana,Luke Weaver,Willson Contreras,Neil Walker,Jason Kipnis,Kris Bryant,Francisco Lindor,"Giancarlo Stanton,Michael Brantley,Domingo Santana"
7,1063129985,jmwhsc,79.35,Giancarlo Stanton,OF,30.00,0,Mike Fiers,Luke Weaver,Victor Caratini,Neil Walker,Jos? Altuve,Alex Bregman,Carlos Correa,"Giancarlo Stanton,Aaron Judge,George Springer"
8,1063385350,tastefultides,67.55,Aaron Judge,OF,30.00,12,Charlie Morton,Luke Weaver,Victor Caratini,Edwin Encarnacion,Jason Kipnis,Kris Bryant,Addison Russell,"Kyle Schwarber,Michael Brantley,Jason Heyward"
9,1063455576,thekdogg,66.9,Ben Zobrist,2B,30.00,17,Eduardo Rodr?guez,Luke Weaver,Evan Gattis,Eric Hosmer,Jos? Altuve,Jos? Ram?rez,Carlos Correa,"George Springer,Josh Reddick,Michael Brantley"
10,1063356496,wakeywakey,40.6,Jos? Altuve,2B,30.00,0,Eduardo Rodr?guez,Reynaldo L?pez,Manny Pi?a,Jes?s Aguilar,Jos? Altuve,Alex Bregman,Carlos Correa,"George Springer,Ryan Braun,Domingo Santana"
,,,,Carlos Correa,SS,30.00,0,,,,,,,,
,,,,George Springer,OF,30.00,3,,,,,,,,
,,,,Victor Caratini,C,30.00,5,,,,,,,,
,,,,Michael Brantley,OF,30.00,5,,,,,,,,
,,,,Eduardo Rodr?guez,P,30.00,12.05,,,,,,,,
,,,,Jos? Quintana,P,20.00,26.5,,,,,,,,
,,,,Trey Mancini,1B,20.00,5,,,,,,,,
,,,,Alex Bregman,3B,20.00,0,,,,,,,,
,,,,Neil Walker,1B,20.00,9,,,,,,,,
,,,,Jason Kipnis,2B,20.00,0,,,,,,,,
,,,,Domingo Santana,OF,20.00,2,,,,,,,,
,,,,Charlie Morton,P,20.00,26.7,,,,,,,,
,,,,Jos? Ram?rez,3B,20.00,4,,,,,,,,
,,,,Jake Arrieta,P,20.00,12,,,,,,,,
,,,,Mike Fiers,P,10.00,26.5,,,,,,,,
,,,,Francisco Lindor,SS,10.00,0,,,,,,,,
,,,,Dexter Fowler,OF,10.00,0,,,,,,,,
,,,,Ryan Braun,OF,10.00,0,,,,,,,,
,,,,Jes?s Aguilar,1B,10.00,2,,,,,,,,
,,,,Manny Pi?a,C,10.00,0,,,,,,,,
,,,,Edwin Encarnacion,1B,10.00,0,,,,,,,,
,,,,Kyle Schwarber,OF,10.00,0,,,,,,,,
,,,,Jason Heyward,OF,10.00,7,,,,,,,,
,,,,Josh Reddick,OF,10.00,19,,,,,,,,
,,,,Evan Gattis,C,10.00,0,,,,,,,,
,,,,Eric Hosmer,1B,10.00,0,,,,,,,,
,,,,Rhys Hoskins,OF,10.00,11,,,,,,,,
,,,,Carlos Santana,1B,10.00,2,,,,,,,,
,,,,C?sar Hern?ndez,2B,10.00,9,,,,,,,,
,,,,Od?bel Herrera,OF,10.00,12,,,,,,,,
,,,,J.P. Crawford,SS,10.00,0,,,,,,,,
,,,,Jos? Abreu,1B,10.00,2,,,,,,,,
,,,,Yo?n Moncada,2B,10.00,0,,,,,,,,
,,,,Avisa?l Garc?a,OF,10.00,6,,,,,,,,
,,,,Mookie Betts,OF,10.00,16,,,,,,,,
,,,,J.D. Martinez,OF,10.00,0,,,,,,,,
,,,,Andrew Benintendi,OF,10.00,7,,,,,,,,
,,,,Xander Bogaerts,SS,10.00,3,,,,,,,,
,,,,Hanley Ramirez,1B,10.00,14,,,,,,,,
,,,,Miguel And?jar,3B,10.00,14,,,,,,,,
