Rank,EntryId,EntryName,EntryPoints,Player,Position,PercentDrafted,PlayerPoints,Pitcher1,Pitcher2,Catcher,FirstBase,SecondBase,ThirdBase,ShortStop,Outfield1,Outfield2,Outfield3,ContestDate,ContestName,ContestId,ContestFee,Winnings
1.0,1063246730.0,dandydon,108.55,Luke Weaver,P,60.0,23.85,Charlie Morton,Luke Weaver,Willson Contreras,Trey Mancini,Ben Zobrist,Kris Bryant,Addison Russell,Aaron Judge,Albert Almora,Dexter Fowler,20180408,thunder_dome,55164933,5300,25000
2.0,1063108502.0,youdacao,108.35,Kris Bryant,3B,60.0,0.0,Jos? Quintana,Luke Weaver,Willson Contreras,Trey Mancini,Ben Zobrist,Kris Bryant,Addison Russell,Giancarlo Stanton,Aaron Judge,Albert Almora,20180408,thunder_dome,55164933,5300,15000
3.0,1063483459.0,Tommyg1979,96.6,Willson Contreras,C,50.0,15.0,Eduardo Rodr?guez,Reynaldo L?pez,Victor Caratini,Hanley Ramirez,Jos? Ram?rez,Miguel And?jar,Xander Bogaerts,Mookie Betts,J.D. Martinez,Andrew Benintendi,20180408,thunder_dome,55164933,5300,10000
4.0,1063467471.0,Awesemo,91.55,Addison Russell,SS,40.0,0.0,Jake Arrieta,Reynaldo L?pez,Willson Contreras,Carlos Santana,C?sar Hern?ndez,Kris Bryant,J.P. Crawford,Rhys Hoskins,Od?bel Herrera,Albert Almora,20180408,thunder_dome,55164933,5300,0
5.0,1063477804.0,ehafner,82.55,Albert Almora Jr.,OF,40.0,9.0,Jake Arrieta,Reynaldo L?pez,Willson Contreras,Jos? Abreu,Yo?n Moncada,Kris Bryant,Addison Russell,Avisa?l Garc?a,Ben Zobrist,Albert Almora,20180408,thunder_dome,55164933,5300,0
6.0,1063176091.0,moklovin,81.35,Reynaldo L?pez,P,40.0,21.55,Jos? Quintana,Luke Weaver,Willson Contreras,Neil Walker,Jason Kipnis,Kris Bryant,Francisco Lindor,Giancarlo Stanton,Michael Brantley,Domingo Santana,20180408,thunder_dome,55164933,5300,0
7.0,1063129985.0,jmwhsc,79.35,Giancarlo Stanton,OF,30.0,0.0,Mike Fiers,Luke Weaver,Victor Caratini,Neil Walker,Jos? Altuve,Alex Bregman,Carlos Correa,Giancarlo Stanton,Aaron Judge,George Springer,20180408,thunder_dome,55164933,5300,0
8.0,1063385350.0,tastefultides,67.55,Aaron Judge,OF,30.0,12.0,Charlie Morton,Luke Weaver,Victor Caratini,Edwin Encarnacion,Jason Kipnis,Kris Bryant,Addison Russell,Kyle Schwarber,Michael Brantley,Jason Heyward,20180408,thunder_dome,55164933,5300,0
9.0,1063455576.0,thekdogg,66.9,Ben Zobrist,2B,30.0,17.0,Eduardo Rodr?guez,Luke Weaver,Evan Gattis,Eric Hosmer,Jos? Altuve,Jos? Ram?rez,Carlos Correa,George Springer,Josh Reddick,Michael Brantley,20180408,thunder_dome,55164933,5300,0
10.0,1063356496.0,wakeywakey,40.6,Jos? Altuve,2B,30.0,0.0,Eduardo Rodr?guez,Reynaldo L?pez,Manny Pi?a,Jes?s Aguilar,Jos? Altuve,Alex Bregman,Carlos Correa,George Springer,Ryan Braun,Domingo Santana,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,Carlos Correa,SS,30.0,0.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,George Springer,OF,30.0,3.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,Victor Caratini,C,30.0,5.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,Michael Brantley,OF,30.0,5.0,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
0.0,0.0,NA,0.0,Eduardo Rodr?guez,P,30.0,12.05,,,,,,,,nan,,,20180408,thunder_dome,55164933,5300,0
