Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1063694523,footballjose1,0,137.35,P Jameson Taillon P José Quintana OF Aaron Judge SS Carlos Correa 3B Rafael Devers OF Marwin González 1B Tyler Austin OF José Martínez 2B Neil Walker C Austin Romine,,Neil Walker,2B,42.65%,9
2,1063709942,Moneyndabox (2/2),0,132.2,P Charlie Morton P José Quintana 3B Kris Bryant OF Andrew Benintendi OF Gregory Polanco 2B Neil Walker OF Corey Dickerson 1B Mitch Moreland SS Daniel Robertson C Jesús Sucre,,Luke Weaver,P,41.18%,23.85
3,1063697334,papalucia,0,119.9,P Jameson Taillon P Eduardo Rodríguez OF George Springer OF A.J. Pollock C Willson Contreras 3B Alex Bregman 1B Marwin González SS Ketel Marte 2B Ben Zobrist OF Jesse Winker,,Kris Bryant,3B,36.76%,0
4,1063686039,Madindian1,0,119.2,P Charlie Morton P Taijuan Walker OF Rhys Hoskins OF Aaron Judge 2B César Hernández 3B Maikel Franco OF Odúbel Herrera 1B Neil Walker C Austin Romine SS Adeiny Hechavarria,,Giancarlo Stanton,OF,33.82%,0
5,1063603885,Awesemo (2/2),0,114.55,P Charlie Morton P Luke Weaver OF Giancarlo Stanton OF Aaron Judge 3B Kris Bryant 1B Tyler Austin OF Ben Zobrist 2B Neil Walker SS Ronald Torreyes C Victor Caratini,,Willson Contreras,C,30.88%,15
5,1063605178,BirdWings,0,114.55,P Charlie Morton P Luke Weaver OF Aaron Judge SS Carlos Correa 3B Alex Bregman OF Josh Reddick OF Michael Brantley 1B Tyler Austin 2B Neil Walker C Victor Caratini,,Aaron Judge,OF,27.94%,12
7,1063692130,tj4ua,0,113.55,P José Quintana P Eduardo Rodríguez OF Giancarlo Stanton OF Aaron Judge C Willson Contreras OF Brett Gardner SS Addison Russell 2B Ben Zobrist 1B Neil Walker 3B Miguel Andújar,,Jordan Montgomery,P,26.47%,2.55
8,1063685078,joshjosephs7 (1/2),0,112.7,P Jameson Taillon P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Carlos Correa 1B Edwin Encarnacion OF Brett Gardner 2B Neil Walker 3B Miguel Andújar C Victor Caratini,,Carlos Correa,SS,25.00%,0
9,1063666369,dandydon,0,108.55,P Charlie Morton P Luke Weaver OF Aaron Judge 3B Kris Bryant C Willson Contreras SS Addison Russell 2B Ben Zobrist 1B Trey Mancini OF Albert Almora Jr. OF Dexter Fowler,,Michael Brantley,OF,25.00%,5
10,1063677516,ehafner (2/2),0,106.05,P José Quintana P Reynaldo López OF Giancarlo Stanton 3B Kris Bryant C Willson Contreras OF Brett Gardner SS Addison Russell 2B Ben Zobrist 1B Neil Walker OF Albert Almora Jr.,,José Quintana,P,25.00%,26.5
11,1063616173,Seaweed81 (1/2),0,104.55,P Charlie Morton P Luke Weaver OF Rhys Hoskins OF Lorenzo Cain 1B Ryan Braun 2B César Hernández 3B Maikel Franco C Yan Gomes OF Domingo Santana SS Ronald Torreyes,,Charlie Morton,P,23.53%,26.7
12,1063571763,noodles28,0,103.7,P Jameson Taillon P Luke Weaver OF J.D. Martinez SS Xander Bogaerts 1B Carlos Santana OF Lorenzo Cain 3B Rafael Devers 2B Eduardo Núñez OF Avisaíl García C Welington Castillo,,Francisco Lindor,SS,23.53%,0
13,1063681065,NickDiesel316,0,102.5,P Jake Arrieta P José Quintana OF Giancarlo Stanton OF Aaron Judge 1B Edwin Encarnacion 2B Neil Walker 3B Matt Duffy OF Kevin Kiermaier C Austin Hedges SS Daniel Robertson,,Brett Gardner,OF,22.06%,8
14,1063553216,ineedmoney23,0,97.55,P Charlie Morton P Luke Weaver OF Giancarlo Stanton OF Aaron Judge SS Xander Bogaerts OF Brett Gardner 2B Neil Walker 1B Mitch Moreland C Manny Piña 3B Jace Peterson,,José Ramírez,2B,20.59%,4
15,1063618903,Seaweed81 (2/2),0,97.4,P Reynaldo López P Luke Weaver 2B José Altuve SS Carlos Correa OF George Springer 3B José Ramírez OF Josh Reddick 1B Marwin González OF Michael Brantley C Yan Gomes,,Reynaldo López,P,17.65%,21.55
15,1063675925,marcf,0,97.39999,P Jameson Taillon P Reynaldo López OF Aaron Judge SS Francisco Lindor 3B José Ramírez 1B José Abreu OF Avisaíl García C Welington Castillo 2B Neil Walker OF Nicky Delmonico,,Ben Zobrist,OF,16.18%,17
17,1063685094,joshjosephs7 (2/2),0,96.85,P Jake Arrieta P Luke Weaver OF Giancarlo Stanton OF Mookie Betts SS Carlos Correa OF Brett Gardner C Evan Gattis 1B Tyler Austin 2B Neil Walker 3B Miguel Andújar,,Domingo Santana,OF,16.18%,2
18,1063695833,crclngthdrn (2/2),0,96.7,P Jameson Taillon P Luke Weaver OF Rhys Hoskins SS Xander Bogaerts 1B Matt Davidson OF Brett Gardner 2B Jason Kipnis 3B Maikel Franco OF Michael Brantley C Welington Castillo,,Alex Bregman,3B,16.18%,0
19,1063606949,cewrazen,0,96.55,P Charlie Morton P Jameson Taillon 3B Kris Bryant SS Manny Machado OF Marcell Ozuna OF Tommy Pham 2B Neil Walker 1B Matt Carpenter OF Dexter Fowler C Victor Caratini,,Jake Arrieta,P,16.18%,12
20,1063685049,sidewinder,0,96.25,P Charlie Morton P Reynaldo López OF Aaron Judge SS Carlos Correa OF Brett Gardner 1B Marwin González 2B Neil Walker OF Corey Dickerson C Manny Piña 3B Daniel Descalso,,Jason Kipnis,2B,14.71%,0
21,1063668742,Moneyndabox (1/2),0,96.2,P Charlie Morton P Taijuan Walker 3B Kris Bryant 1B Miguel Cabrera OF Gregory Polanco SS Manny Machado 2B Neil Walker OF Corey Dickerson OF Jesse Winker C Andrew Knapp,,Victor Caratini,C,14.71%,5
22,1063699880,FJH3 (2/2),0,95.35,P José Quintana P Luke Weaver 2B José Altuve OF George Springer SS Francisco Lindor 3B José Ramírez OF Josh Reddick OF Michael Brantley 1B Neil Walker C Victor Caratini,,Jameson Taillon,P,13.24%,40.85
23,1063667794,BraveCowboy,0,95,P José Quintana P Mike Fiers OF Rhys Hoskins OF George Springer SS Francisco Lindor 1B Yonder Alonso 3B Manny Machado 2B Jonathan Schoop C Yadier Molina OF Trey Mancini,,Ryan Braun,1B,13.24%,0
24,1063658699,FJH3 (1/2),0,91.35,P José Quintana P Luke Weaver OF Giancarlo Stanton OF Mookie Betts SS Francisco Lindor 3B José Ramírez 1B José Abreu OF Michael Brantley 2B Neil Walker C Victor Caratini,,José Altuve,2B,13.24%,0
