Rank,EntryId,EntryName,Points,Player,Roster Position,Drafted,FPTS,,,,,,,,
1,1063694523,footballjose1,137.35,Neil Walker,2B,42.65,9,Jameson Taillon,Jose Quintana,Austin Romine,Tyler Austin,Neil Walker,Rafael Devers,Carlos Correa,"Aaron Judge,Marwin Gonzalez,Jose Martinez"
2,1063709942,Moneyndabox,132.2,Luke Weaver,P,41.18,23.85,Charlie Morton,Jose Quintana,Jesus Sucre,Mitch Moreland,Neil Walker,Kris Bryant,Daniel Robertson,"Andrew Benintendi,Gregory Polanco,Corey Dickerson"
3,1063697334,papalucia,119.9,Kris Bryant,3B,36.76,0,Jameson Taillon,Eduardo Rodriguez,Willson Contreras,Marwin Gonzalez,Ben Zobrist,Alex Bregman,Ketel Marte,"George Springer,A.J. Pollock,Jesse Winker"
4,1063686039,Madindian1,119.2,Giancarlo Stanton,OF,33.82,0,Charlie Morton,Taijuan Walker,Austin Romine,Neil Walker,Cesar Hernandez,Maikel Franco,Adeiny Hechavarria,"Rhys Hoskins,Aaron Judge,Odubel Herrera"
5,1063603885,Awesemo,114.55,Willson Contreras,C,30.88,15,Charlie Morton,Luke Weaver,Victor Caratini,Tyler Austin,Neil Walker,Kris Bryant,Ronald Torreyes,"Giancarlo Stanton,Aaron Judge,Ben Zobrist"
5,1063605178,BirdWings,114.55,Aaron Judge,OF,27.94,12,Charlie Morton,Luke Weaver,Victor Caratini,Tyler Austin,Neil Walker,Alex Bregman,Carlos Correa,"Aaron Judge,Josh Reddick,Michael Brantley"
7,1063692130,tj4ua,113.55,Jordan Montgomery,P,26.47,2.55,Jose Quintana,Eduardo Rodriguez,Willson Contreras,Neil Walker,Ben Zobrist,Miguel Andujar,Addison Russell,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
8,1063685078,joshjosephs7,112.7,Carlos Correa,SS,25.00,0,Jameson Taillon,Luke Weaver,Victor Caratini,Edwin Encarnacion,Neil Walker,Miguel Andujar,Carlos Correa,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
9,1063666369,dandydon,108.55,Michael Brantley,OF,25.00,5,Charlie Morton,Luke Weaver,Willson Contreras,Trey Mancini,Ben Zobrist,Kris Bryant,Addison Russell,"Aaron Judge,Albert Almora,Dexter Fowler"
10,1063677516,ehafner,106.05,Jose Quintana,P,25.00,26.5,Jose Quintana,Reynaldo Lopez,Willson Contreras,Neil Walker,Ben Zobrist,Kris Bryant,Addison Russell,"Giancarlo Stanton,Brett Gardner,Albert Almora"
11,1063616173,Seaweed81,104.55,Charlie Morton,P,23.53,26.7,Charlie Morton,Luke Weaver,Yan Gomes,Ryan Braun,Cesar Hernandez,Maikel Franco,Ronald Torreyes,"Rhys Hoskins,Lorenzo Cain,Domingo Santana"
12,1063571763,noodles28,103.7,Francisco Lindor,SS,23.53,0,Jameson Taillon,Luke Weaver,Welington Castillo,Carlos Santana,Eduardo Nunez,Rafael Devers,Xander Bogaerts,"J.D. Martinez,Lorenzo Cain,Avisail Garcia"
13,1063681065,NickDiesel316,102.5,Brett Gardner,OF,22.06,8,Jake Arrieta,Jose Quintana,Austin Hedges,Edwin Encarnacion,Neil Walker,Matt Duffy,Daniel Robertson,"Giancarlo Stanton,Aaron Judge,Kevin Kiermaier"
14,1063553216,ineedmoney23,97.55,Jose Ramirez,2B,20.59,4,Charlie Morton,Luke Weaver,Manny Pina,Mitch Moreland,Neil Walker,Jace Peterson,Xander Bogaerts,"Giancarlo Stanton,Aaron Judge,Brett Gardner"
15,1063618903,Seaweed81,97.4,Reynaldo Lopez,P,17.65,21.55,Reynaldo Lopez,Luke Weaver,Yan Gomes,Marwin Gonzalez,Jose Altuve,Jose Ramirez,Carlos Correa,"George Springer,Josh Reddick,Michael Brantley"
15,1063675925,marcf,97.39999,Ben Zobrist,OF,16.18,17,Jameson Taillon,Reynaldo Lopez,Welington Castillo,Jose Abreu,Neil Walker,Jose Ramirez,Francisco Lindor,"Aaron Judge,Avisail Garcia,Nicky Delmonico"
17,1063685094,joshjosephs7,96.85,Domingo Santana,OF,16.18,2,Jake Arrieta,Luke Weaver,Evan Gattis,Tyler Austin,Neil Walker,Miguel Andujar,Carlos Correa,"Giancarlo Stanton,Mookie Betts,Brett Gardner"
18,1063695833,crclngthdrn,96.7,Alex Bregman,3B,16.18,0,Jameson Taillon,Luke Weaver,Welington Castillo,Matt Davidson,Jason Kipnis,Maikel Franco,Xander Bogaerts,"Rhys Hoskins,Brett Gardner,Michael Brantley"
