Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1090448004,wakeywakey (3/3),0,143.55,P Gio Gonzalez P Nick Pivetta OF Mitch Haniger OF Nelson Cruz OF Odúbel Herrera SS Jean Segura 2B César Hernández 3B Maikel Franco 1B Carlos Santana C Mike Zunino,,Alex Wood,P,61.32%,12.45
2,1090226886,itsabucslife1 (1/2),0,137.55,P Julio Teheran P Alex Wood OF Aaron Judge SS Manny Machado 3B Josh Donaldson OF Nelson Cruz OF Teoscar Hernández 1B Justin Smoak 2B Jonathan Schoop C Russell Martin,,Manny Machado,SS,50.94%,5
3,1090095430,Vongole,0,136.95,P Julio Teheran P Nick Pivetta OF J.D. Martinez SS Manny Machado 3B Josh Donaldson OF Odúbel Herrera OF Kevin Pillar 1B Carlos Santana C Salvador Perez 2B Jonathan Schoop,,Nelson Cruz,OF,38.68%,2
4,1090486142,thekdogg (2/2),0,136.15,P Julio Teheran P Ryan Yarbrough OF Aaron Judge OF A.J. Pollock SS Manny Machado OF Giancarlo Stanton C Gary Sánchez 3B Mike Moustakas 2B Jonathan Schoop 1B Lucas Duda,,Jonathan Schoop,2B,37.74%,12
5,1090112920,IamPGM (3/3),0,134.1,P Julio Teheran P Masahiro Tanaka SS Trea Turner C Gary Sánchez OF Odúbel Herrera 2B César Hernández OF Nick Markakis 3B Maikel Franco 1B Carlos Santana OF Aaron Altherr,,Mike Moustakas,3B,33.02%,0
6,1090576834,BrandonAdams (1/3),0,128.55,P Gio Gonzalez P Nick Pivetta SS Manny Machado 3B Josh Donaldson OF Teoscar Hernández OF Kevin Pillar OF Mark Trumbo 1B Justin Smoak 2B Jonathan Schoop C Russell Martin,,Josh Donaldson,3B,32.08%,7
7,1090434081,thekdogg (1/2),0,128.15,P Julio Teheran P Ryan Yarbrough OF Aaron Judge SS Manny Machado OF Giancarlo Stanton 3B Josh Donaldson C Gary Sánchez OF Nelson Cruz 1B Justin Smoak 2B Jonathan Schoop,,Adam Jones,OF,28.30%,5
8,1090058344,ChileGuy (1/2),0,124.15,P Patrick Corbin P Julio Teheran SS Didi Gregorius OF Odúbel Herrera 1B Carlos Santana OF Aaron Hicks 2B Jonathan Schoop OF Nick Williams 3B Pablo Sandoval C Andrew Knapp,,Masahiro Tanaka,P,27.36%,4
9,1090049557,ChipotleAddict (1/3),0,123.85,P Masahiro Tanaka P Nick Pivetta OF Aaron Judge OF Giancarlo Stanton SS Didi Gregorius 2B Whit Merrifield 3B Mike Moustakas OF Jorge Soler C Salvador Perez 1B Lucas Duda,,Salvador Perez,C,26.42%,8
10,1090524882,stlcardinals84,0,122.95,P Julio Teheran P Nick Pivetta 2B Ozzie Albies SS Manny Machado 3B Josh Donaldson OF Nelson Cruz OF Teoscar Hernández OF Kevin Pillar 1B Justin Smoak C Russell Martin,,Alen Hanson,2B,26.42%,4
