Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,Player,RosterPosition,PercentDrafted,FTPS,EntryFee,Winnings
1,1055370992,m3deman,0,166.8,P Stephen Strasburg P Matt Shoemaker 2B José Altuve OF George Springer SS Carlos Correa 3B Josh Donaldson 1B Justin Smoak OF Dee Gordon OF Kevin Pillar C Yan Gomes,George Springer,OF,50.00,9.0,333,0
2,1055557525,Awesemo (1/5),0,159.85,P Stephen Strasburg P Lance McCullers Jr. OF Mike Trout SS Zack Cozart 3B Josh Donaldson 1B Justin Smoak OF Randal Grichuk OF Steve Pearce 2B Yangervis Solarte C René Rivera,José Altuve,2B,49.41,18.0,333,0
3,1055308529,MESBRO,0,156.6,P Jacob deGrom P Stephen Strasburg OF Yoenis Céspedes OF Jay Bruce 3B Todd Frazier 2B Asdrúbal Cabrera C Travis d'Arnaud 1B Matt Adams SS Yangervis Solarte OF Billy McKinney,James Paxton,P,43.53,0.5,333,0
4,1055622114,DraftCheat (2/2),0,144.85,P Stephen Strasburg P Lance McCullers Jr. OF George Springer SS Carlos Correa 1B Justin Smoak OF José Martínez 2B Jed Lowrie C Travis d'Arnaud 3B Luis Valbuena OF Steve Pearce,Justin Smoak,1B,42.35,15.0,333,0
5,1055557529,Awesemo (5/5),0,144.75,P Jacob deGrom P Lance McCullers Jr. OF Mike Trout SS Zack Cozart 1B Albert Pujols 2B Jed Lowrie OF Matt Joyce OF Stephen Piscotty 3B Luis Valbuena C René Rivera,Alex Bregman,3B,40.00,0.0,333,0
6,1055554549,jd23vt,0,143.8,P Stephen Strasburg P Daniel Mengden OF Bryce Harper SS Trea Turner OF Yoenis Céspedes 3B Anthony Rendon OF Jay Bruce 2B Asdrúbal Cabrera C Travis d'Arnaud 1B Matt Adams,Luis Castillo,P,37.65,7.05,333,0
7,1055624614,anilprao88 (1/5),0,143.25,P Jacob deGrom P James Paxton OF Bryce Harper 3B Anthony Rendon OF Adam Eaton SS Didi Gregorius 2B Neil Walker C Matt Wieters OF Matt Adams 1B Tyler Austin,Gary Sánchez,C,36.47,0.0,333,0
8,1055313205,tastefultides (1/5),0,138.8,P Stephen Strasburg P Matt Shoemaker OF Mike Trout SS Carlos Correa OF Marwin González C Evan Gattis 1B Albert Pujols 2B Howie Kendrick OF Randal Grichuk 3B J.D. Davis,Carlos Correa,SS,35.29,29.0,333,0
9,1055645050,extoneagles (2/5),0,138.0,P Lance McCullers Jr. P Michael Fulmer OF Bryce Harper 2B José Altuve OF George Springer SS Carlos Correa 3B Alex Bregman OF Brian Goodwin C John Hicks 1B Matt Adams,Giancarlo Stanton,OF,32.94,7.0,333,0
10,1055638611,TGus13,0,137.8,P Jacob deGrom P Luis Castillo OF Mike Trout OF Aaron Judge OF George Springer 3B Todd Frazier SS Didi Gregorius 2B Scooter Gennett C Brian McCann 1B Tyler Austin,Evan Gattis,C,32.35,9.0,333,0
