1,1055370992,m3deman,166.8,George Springer,OF,50.00,9,P Stephen Strasburg P Matt Shoemaker 2B Jose Altuve OF George Springer SS Carlos Correa 3B Josh Donaldson 1B Justin Smoak OF Dee Gordon OF Kevin Pillar C Yan Gomes
2,1055557525,Awesemo (1/5),159.85,Jose Altuve,2B,49.41,18,P Stephen Strasburg P Lance McCullers Jr. OF Mike Trout SS Zack Cozart 3B Josh Donaldson 1B Justin Smoak OF Randal Grichuk OF Steve Pearce 2B Yangervis Solarte C Rene Rivera
3,1055308529,MESBRO,156.6,James Paxton,P,43.53,0.5,P Jacob deGrom P Stephen Strasburg OF Yoenis Cespedes OF Jay Bruce 3B Todd Frazier 2B Asdrubal Cabrera C Travis d'Arnaud 1B Matt Adams SS Yangervis Solarte OF Billy McKinney
4,1055622114,DraftCheat (2/2),144.85,Justin Smoak,1B,42.35,15,P Stephen Strasburg P Lance McCullers Jr. OF George Springer SS Carlos Correa 1B Justin Smoak OF Jose Martinez 2B Jed Lowrie C Travis d'Arnaud 3B Luis Valbuena OF Steve Pearce
5,1055557529,Awesemo (5/5),144.75,Alex Bregman,3B,40.00,0,P Jacob deGrom P Lance McCullers Jr. OF Mike Trout SS Zack Cozart 1B Albert Pujols 2B Jed Lowrie OF Matt Joyce OF Stephen Piscotty 3B Luis Valbuena C Rene Rivera
6,1055554549,jd23vt,143.8,Luis Castillo,P,37.65,7.05,P Stephen Strasburg P Daniel Mengden OF Bryce Harper SS Trea Turner OF Yoenis Cespedes 3B Anthony Rendon OF Jay Bruce 2B Asdrubal Cabrera C Travis d'Arnaud 1B Matt Adams
7,1055624614,anilprao88 (1/5),143.25,Gary Sanchez,C,36.47,0,P Jacob deGrom P James Paxton OF Bryce Harper 3B Anthony Rendon OF Adam Eaton SS Didi Gregorius 2B Neil Walker C Matt Wieters OF Matt Adams 1B Tyler Austin
8,1055313205,tastefultides (1/5),138.8,Carlos Correa,SS,35.29,29,P Stephen Strasburg P Matt Shoemaker OF Mike Trout SS Carlos Correa OF Marwin Gonzalez C Evan Gattis 1B Albert Pujols 2B Howie Kendrick OF Randal Grichuk 3B J.D. Davis
9,1055645050,extoneagles (2/5),138,Giancarlo Stanton,OF,32.94,7,P Lance McCullers Jr. P Michael Fulmer OF Bryce Harper 2B Jose Altuve OF George Springer SS Carlos Correa 3B Alex Bregman OF Brian Goodwin C John Hicks 1B Matt Adams
10,1055638611,TGus13,137.8,Evan Gattis,C,32.35,9,P Jacob deGrom P Luis Castillo OF Mike Trout OF Aaron Judge OF George Springer 3B Todd Frazier SS Didi Gregorius 2B Scooter Gennett C Brian McCann 1B Tyler Austin
11,1055509306,1967spike (1/2),137.05,Jacob deGrom,P,31.76,25.75,P Lance McCullers Jr. P Luis Castillo OF Aaron Judge 2B Jose Altuve OF George Springer SS Carlos Correa C Gary Sanchez 3B Todd Frazier OF Steve Pearce 1B Tyler Austin
11,1055653216,1967spike (2/2),137.05,Aaron Judge,OF,30.00,0,P Lance McCullers Jr. P Luis Castillo OF Aaron Judge 2B Jose Altuve OF George Springer SS Carlos Correa C Gary Sanchez 3B Todd Frazier OF Steve Pearce 1B Tyler Austin
13,1055583717,isupol (2/3),136.75,Stephen Strasburg,P,30.00,24.85,P Jacob deGrom P Lance McCullers Jr. OF Khris Davis 3B Josh Donaldson SS Marcus Semien 1B Justin Smoak 2B Jed Lowrie OF Randal Grichuk OF Kevin Pillar C Bruce Maxwell
14,1055561823,sacamania (2/2),136.4,Steve Pearce,OF,27.06,2,P Stephen Strasburg P Carlos Carrasco OF Giancarlo Stanton 3B Josh Donaldson SS Marwin Gonzalez 1B Justin Smoak C Travis d'Arnaud OF Randal Grichuk OF Kevin Pillar 2B Yangervis Solarte
15,1055598506,Bambam522812,135.55,Josh Donaldson,3B,25.88,9,P Stephen Strasburg P Michael Wacha 2B Jose Altuve SS Carlos Correa 3B Alex Bregman C Evan Gattis OF Howie Kendrick OF Randal Grichuk OF Jake Marisnick 1B Matt Adams
16,1055408114,kingpuba33,134.7,Didi Gregorius,SS,23.53,5,P Jacob deGrom P Matt Shoemaker 2B Jose Altuve OF Yoenis Cespedes OF Marwin Gonzalez SS Didi Gregorius 3B Eugenio Suarez OF Howie Kendrick 1B Adrian Gonzalez C Matt Wieters
17,1055313244,tastefultides (5/5),134.55,Neil Walker,2B,22.35,2,P Stephen Strasburg P Michael Wacha OF Bryce Harper OF Adam Eaton 3B Josh Donaldson SS Marwin Gonzalez 2B Howie Kendrick C Matt Wieters OF Randal Grichuk 1B Matt Adams
18,1055518601,fjbourne,133.9,Marwin Gonzalez,SS,21.76,11,P Stephen Strasburg P Luis Castillo 2B Jose Altuve OF George Springer SS Carlos Correa 3B Josh Donaldson OF Marwin Gonzalez C Evan Gattis 1B Justin Smoak OF Steve Pearce
19,1055367399,youdacao (5/5),133.8,Randal Grichuk,OF,21.76,5,P Jacob deGrom P Luis Castillo OF Mike Trout C Gary Sanchez OF Justin Upton SS Zack Cozart 3B Josh Donaldson 1B Justin Smoak OF Randal Grichuk 2B Yangervis Solarte
19,1055558112,Jay2136,133.8,Matt Adams,1B,21.76,22,P Stephen Strasburg P Matt Shoemaker OF Mike Trout OF Aaron Judge 2B Jose Altuve 3B Josh Donaldson SS Marwin Gonzalez 1B Justin Smoak C Travis d'Arnaud OF Billy McKinney
