1B,Adrian Gonzalez,L,nym
1B,Brad Miller,L,tam
1B,C.J. Cron,R,tam
1B,Carlos Santana,S,phi
1B,Chris Davis,L,bal
1B,Edwin Encarnacion,R,cle
1B,Freddie Freeman,L,atl
1B,Greg Bird,L,nyy
1B,Hunter Dozier,R,kan
1B,Jesus Aguilar,R,mil
1B,Joey Votto,L,cin
1B,Jose Abreu,R,cws
1B,Jose Martinez,R,stl
1B,Josh Bell,S,pit
1B,Justin Bour,L,mia
1B,Justin Smoak,S,tor
1B,Mitch Moreland,L,bos
1B,Neil Walker,S,nyy
1B,Ronald Guzman,L,tex
1B,Victor Martinez,S,det
1B,Yonder Alonso,L,cle
1B,Yuli Gurriel,R,hou
1B/3B,Luis Valbuena,L,laa
1B/3B,Pedro Alvarez,L,bal
1B/3B,Ryan McMahon,L,col
1B/3B,Wilmer Flores,R,nym
1B/C,John Hicks,R,det
1B/OF,Ian Desmond,R,col
1B/OF,Joey Gallo,L,tex
1B/OF,Matt Adams,L,was
1B/OF,Trey Mancini,R,bal
2B,Asdrubal Cabrera,S,nym
2B,Cesar Hernandez,S,phi
2B,Devon Travis,R,tor
2B,Dixon Machado,R,det
2B,Dustin Pedroia,R,bos
2B,Ian Kinsler,R,laa
2B,Jason Kipnis,L,cle
2B,Joey Wendle,L,tam
2B,Jonathan Schoop,R,bal
2B,Jonathan Villar,S,mil
2B,Jose Altuve,R,hou
2B,Kolten Wong,L,stl
2B,Ozzie Albies,S,atl
2B,Rougned Odor,L,tex
2B,Scooter Gennett,L,cin
2B,Starlin Castro,R,mia
2B,Whit Merrifield,R,kan
2B,Yoan Moncada,S,cws
2B/3B,Isiah Kiner-Falefa,R,tex
2B/3B,Jace Peterson,L,bal
2B/3B,Matt Carpenter,L,stl
2B/3B,Wilmer Difo,S,was
2B/3B,Yangervis Solarte,S,tor
2B/3B,Zack Cozart,R,laa
2B/OF,Adam Frazier,L,pit
2B/SS,Daniel Robertson,R,tam
2B/SS,Eduardo Nunez,R,bos
2B/SS,Eric Sogard,L,mil
2B/SS,Jose Rondon,R,cws
2B/SS,JT Riddle,L,mia
3B,Alex Bregman,R,hou
3B,Anthony Rendon,R,was
3B,Colin Moran,L,pit
3B,Danny Valencia,R,bal
3B,Eugenio Suarez,R,cin
3B,Jeimer Candelario,S,det
3B,Jose Ramirez,S,cle
3B,Josh Donaldson,R,tor
3B,Maikel Franco,R,phi
3B,Miguel Andujar,R,nyy
3B,Nolan Arenado,R,col
3B,Rafael Devers,L,bos
3B,Travis Shaw,L,mil
3B,Yolmer Sanchez,S,cws
3B/OF,Brian Anderson,R,mia
3B/OF,Jose Bautista,R,nym
3B/SS,Charlie Culberson,R,atl
3B/SS,Christian Arroyo,R,tam
3B/SS,Scott Kingery,R,phi
C,Andrew Knapp,S,phi
C,Carson Kelly,R,stl
C,Chance Sisco,L,bal
C,Drew Butera,R,kan
C,Evan Gattis,R,hou
C,Francisco Cervelli,R,pit
C,Gary Sanchez,R,nyy
C,Grayson Greiner,R,det
C,J.T. Realmuto,R,mia
C,Kurt Suzuki,R,atl
C,Manny Pina,R,mil
C,Martin Maldonado,R,laa
C,Max Stassi,R,hou
C,Omar Narvaez,L,cws
C,Pedro Severino,R,was
C,Roberto Perez,R,cle
C,Robinson Chirinos,R,tex
C,Russell Martin,R,tor
C,Salvador Perez,R,kan
C,Sandy Leon,S,bos
C,Tomas Nido,R,nym
C,Tony Wolters,L,col
C,Tucker Barnhart,S,cin
C,Tyler Flowers,R,atl
C,Wilson Ramos,R,tam
OF,Aaron Altherr,R,phi
OF,Aaron Hicks,S,nyy
OF,Aaron Judge,R,nyy
OF,Adam Engel,R,cws
OF,Alex Gordon,L,kan
OF,Andrew Benintendi,L,bos
OF,Austin Meadows,L,pit
OF,Billy Hamilton,S,cin
OF,Brett Gardner,L,nyy
OF,Bryce Harper,L,was
OF,Carlos Gomez,R,tam
OF,Carlos Gonzalez,L,col
OF,Charlie Blackmon,L,col
OF,Chris Young,R,laa
OF,Christian Yelich,L,mil
OF,Craig Gentry,R,bal
OF,Curtis Granderson,L,tor
