Name,Team,Opp.,Position,Salary,my_proj
Anthony Rizzo ,@CHC,STL,1B,4300,3.2
Avisail Garcia ,CWS,@OAK,OF,3200,1.4
Carlos Santana ,PHI,@ATL,1B,4000,4
Carlos Tocci ,TEX,@TB,OF,2200,1
Domingo Santana ,@MIL,CIN,OF,3000,4.6
Jay Bruce ,@NYM,WSH,OF,3700,3.4
Mark Canha ,@OAK,CWS,OF,2900,6.6
Orlando Arcia ,@MIL,CIN,SS,2700,5.4
Tommy Pham ,STL,@CHC,OF,4700,16
Corey Kluber ,CLE,@MIN,P,12100,20.7
David Price ,BOS,@LAA,P,10100,13.1
Patrick Corbin ,@ARI,SF,P,9800,22
Lance McCullers Jr. ,HOU,@SEA,P,9600,11.8
Johnny Cueto O,SF,@ARI,P,8800,15.2
Gio Gonzalez ,WSH,@NYM,P,8500,16
Nick Pivetta ,PHI,@ATL,P,8400,21.1
Alex Wood ,LAD,@SD,P,8200,13.4
Tyler Chatwood ,@CHC,STL,P,8000,8
Zack Wheeler ,@NYM,WSH,P,7700,14.3
Mike Foltynewicz ,@ATL,PHI,P,7200,15.4
Chad Bettis ,COL,@PIT,P,6900,16.6
Trevor Williams ,@PIT,COL,P,6700,19
Adam Wainwright ,STL,@CHC,P,6500,3.5
Miguel Gonzalez ,CWS,@OAK,P,6300,8.8
Jake Odorizzi ,@MIN,CLE,P,6000,18.7
Junior Guerra ,@MIL,CIN,P,5400,7.9
Ariel Miranda ,@SEA,HOU,P,5400,2.1
Sal Romano ,CIN,@MIL,P,5300,5.6
Mookie Betts Q,BOS,@LAA,OF,5300,14.2
Charlie Blackmon ,COL,@PIT,OF,5200,14.2
Bryce Harper ,WSH,@NYM,OF,5200,12.8
Matt Moore ,TEX,@TB,P,5200,2.9
Freddie Freeman ,@ATL,PHI,1B,5100,7.6
Kris Bryant ,@CHC,STL,3B,5100,10.2
Trevor Cahill ,@OAK,CWS,P,5100,0.9
Mike Trout ,@LAA,BOS,OF,5100,14.8
Gregory Polanco ,@PIT,COL,OF,5000,7.4
Edwin Encarnacion ,CLE,@MIN,1B,4900,1.4
Khris Davis ,@OAK,CWS,OF,4900,16.8
Robinson Cano ,@SEA,HOU,2B,4900,5.4
Jose Ramirez ,CLE,@MIN,3B,4800,11.8
Rhys Hoskins ,PHI,@ATL,OF,4800,8
Buster Posey Q,SF,@ARI,1B / C ,4800,8.6
Paul Goldschmidt ,@ARI,SF,1B,4800,17.8
Bryan Mitchell ,@SD,LAD,P,4800,0.6
Jose Altuve ,HOU,@SEA,2B,4800,4.8
Carlos Correa ,HOU,@SEA,SS,4800,7.4
Brian Dozier ,@MIN,CLE,2B,4700,7.4
Yonny Chirinos ,@TB,TEX,P,4700,0
J.D. Martinez ,BOS,@LAA,OF,4700,11.8
Hanley Ramirez ,BOS,@LAA,1B,4700,13.2
Eric Hosmer ,@SD,LAD,1B,4700,6.6
George Springer ,HOU,@SEA,OF,4700,13
Francisco Lindor ,CLE,@MIN,SS,4600,11.6
