player_id,player,game_date,team,opponent,home/away,team points,opponent points,game_started,game_minutes,game_played,game_active,dk_points,dk_position_num,dk_position,dk_salary,dk_salary_change,double_double,triple_double,points,rebounds,assists,steals,blocks,turnovers,3pm,fgm,fga,ftm,fta
4380,Tristan Thompson,20170523,cle,bos,H,112,99,1,37,1,1,17,5,C,5300,-100,0,0,7,7,0,0,1,1,0,3,4,1,2
4516,Tyler Zeller,20170523,bos,cle,A,99,112,0,2,1,1,0,5,C,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4867,Walter Tavares,20170523,cle,bos,H,112,99,0,0,0,0,0,5,C,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4114,JaVale McGee,20170522,gsw,sas,A,129,115,0,7,1,1,7,5,C,2700,100,0,0,2,3,0,0,1,1,0,1,1,0,0
4933,Damian Jones,20170522,gsw,sas,A,129,115,0,2,1,1,7,5,C,2000,0,0,0,2,2,0,1,0,0,0,1,1,0,0
3308,Pau Gasol,20170522,sas,gsw,H,115,129,0,23,1,1,30,5,C,4900,-100,0,0,14,9,3,0,0,0,0,6,8,2,3
4572,Dewayne Dedmon,20170522,sas,gsw,H,115,129,0,3,1,1,6,5,C,2300,0,0,0,3,1,1,0,0,0,0,0,0,3,4
3553,Zaza Pachulia,20170522,gsw,sas,A,129,115,0,0,0,0,0,5,C,2900,-100,0,0,0,0,0,0,0,0,0,0,0,0,0
3998,Al Horford,20170521,bos,cle,A,111,108,1,36,1,1,30,5,C,6800,-100,0,0,16,2,6,1,0,1,2,7,18,0,0
4380,Tristan Thompson,20170521,cle,bos,H,108,111,1,42,1,1,38,5,C,5400,400,1,0,18,13,1,0,1,2,0,3,4,12,15
4516,Tyler Zeller,20170521,bos,cle,A,111,108,0,7,1,1,6,5,C,2000,0,0,0,0,1,3,0,0,0,0,0,0,0,0
4867,Walter Tavares,20170521,cle,bos,H,108,111,0,0,0,0,0,5,C,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
