SF/PF,LeBron James,11600,CLE@PHO 03/13/2018 10:00PM ET,55.992,CLE
PG,Russell Westbrook,11500,OKC@ATL 03/13/2018 07:30PM ET,56.784,OKC
PF/C,Anthony Davis,11200,CHA@NO 03/13/2018 08:00PM ET,53.538000000000004,NO
C,Karl-Anthony Towns,9400,MIN@WAS 03/13/2018 07:00PM ET,44.778999999999996,MIN
C,Joel Embiid,9300,IND@PHI 03/13/2018 07:00PM ET,46.263999999999996,PHI
C,Nikola Jokic,9000,DEN@LAL 03/13/2018 10:30PM ET,43.342,DEN
PG/SG,Victor Oladipo,8700,IND@PHI 03/13/2018 07:00PM ET,42.541000000000004,IND
SG/SF,Devin Booker,8600,CLE@PHO 03/13/2018 10:00PM ET,40.115,PHO
PG/SG,Bradley Beal,8600,MIN@WAS 03/13/2018 07:00PM ET,39.126999999999995,WAS
C,Andre Drummond,8500,DET@UTA 03/13/2018 09:00PM ET,45.75,DET
C,Dwight Howard,8500,CHA@NO 03/13/2018 08:00PM ET,37.478,CHA
SF/PF,Paul George,8400,OKC@ATL 03/13/2018 07:30PM ET,39.568000000000005,OKC
SF/PF,Tobias Harris,8300,LAC@CHI 03/13/2018 08:00PM ET,32.056,LAC
C,Nikola Vucevic,8300,ORL@SA 03/13/2018 08:30PM ET,38.295,ORL
PF/C,LaMarcus Aldridge,8300,ORL@SA 03/13/2018 08:30PM ET,38.925,SA
PG/SG,Jrue Holiday,8200,CHA@NO 03/13/2018 08:00PM ET,37.28,NO
PG/SG,Lou Williams,8100,LAC@CHI 03/13/2018 08:00PM ET,37.039,LAC
PF/C,Blake Griffin,8100,DET@UTA 03/13/2018 09:00PM ET,41.695,DET
PF/C,Julius Randle,8000,DEN@LAL 03/13/2018 10:30PM ET,30.526999999999997,LAL
PG/SF,Ben Simmons,8000,IND@PHI 03/13/2018 07:00PM ET,41.582,PHI
PG,Kemba Walker,8000,CHA@NO 03/13/2018 08:00PM ET,38.869,CHA
C,DeAndre Jordan,7900,LAC@CHI 03/13/2018 08:00PM ET,36.213,LAC
C,Rudy Gobert,7800,DET@UTA 03/13/2018 09:00PM ET,34.78,UTA
SG/SF,DeMar DeRozan,7700,TOR@BKN 03/13/2018 07:30PM ET,38.742,TOR
PG,Kyle Lowry,7600,TOR@BKN 03/13/2018 07:30PM ET,37.107,TOR
PG,Lonzo Ball,7500,DEN@LAL 03/13/2018 10:30PM ET,34.71,LAL
PG/SG,Donovan Mitchell,7400,DET@UTA 03/13/2018 09:00PM ET,33.109,UTA
PG,Elfrid Payton,7300,CLE@PHO 03/13/2018 10:00PM ET,31.54,PHO
SF/PF,Aaron Gordon,7200,ORL@SA 03/13/2018 08:30PM ET,36.144,ORL
SG/SF,Nicolas Batum,7100,CHA@NO 03/13/2018 08:00PM ET,28.877,CHA
PF/C,Larry Nance Jr.,7000,CLE@PHO 03/13/2018 10:00PM ET,24.180999999999997,CLE
PG,John Wall,7000,MIN@WAS 03/13/2018 07:00PM ET,42.203,WAS
C,Enes Kanter,6900,DAL@NY 03/13/2018 07:30PM ET,32.06,NY
SG/SF,Jimmy Butler,6900,MIN@WAS 03/13/2018 07:00PM ET,40.933,MIN
C,Steven Adams,6800,OKC@ATL 03/13/2018 07:30PM ET,30.766,OKC
PG,Ricky Rubio,6800,DET@UTA 03/13/2018 09:00PM ET,28.651,UTA
PG/SG,Kris Dunn,6700,LAC@CHI 03/13/2018 08:00PM ET,32.12,CHI
SG/SF,Andrew Wiggins,6700,MIN@WAS 03/13/2018 07:00PM ET,29.037,MIN
SG,Gary Harris,6600,DEN@LAL 03/13/2018 10:30PM ET,30.201999999999998,DEN
PG,Dennis Smith Jr.,6600,DAL@NY 03/13/2018 07:30PM ET,29.081999999999997,DAL
PG,Jeff Teague,6600,MIN@WAS 03/13/2018 07:00PM ET,31.281,MIN
PF/C,Bobby Portis,6500,LAC@CHI 03/13/2018 08:00PM ET,25.719,CHI
PF/C,Pau Gasol,6500,ORL@SA 03/13/2018 08:30PM ET,28.656999999999996,SA
PF/C,Paul Millsap,6400,DEN@LAL 03/13/2018 10:30PM ET,30.967,DEN
SG/SF,Will Barton,6400,DEN@LAL 03/13/2018 10:30PM ET,30.765,DEN
SF/PF,Kyle Kuzma,6400,DEN@LAL 03/13/2018 10:30PM ET,28.15,LAL
SG/SF,Tim Hardaway Jr.,6400,DAL@NY 03/13/2018 07:30PM ET,29.528000000000002,NY
PF/C,Dario Saric,6400,IND@PHI 03/13/2018 07:00PM ET,29.851999999999997,PHI
SF/PF,Otto Porter Jr.,6400,MIN@WAS 03/13/2018 07:00PM ET,30.968000000000004,WAS
PG,Dennis Schroder,6300,OKC@ATL 03/13/2018 07:30PM ET,34.024,ATL
SF/PF,T.J. Warren,6300,CLE@PHO 03/13/2018 10:00PM ET,31.0,PHO
PG/SG,Isaiah Thomas,6300,DEN@LAL 03/13/2018 10:30PM ET,26.055999999999997,LAL
SG/SF,Brandon Ingram,6300,DEN@LAL 03/13/2018 10:30PM ET,30.996,LAL
SF/PF,Harrison Barnes,6300,DAL@NY 03/13/2018 07:30PM ET,31.208000000000002,DAL
SG/SF,Taurean Prince,6200,OKC@ATL 03/13/2018 07:30PM ET,25.284000000000002,ATL
PG/SG,Zach LaVine,6200,LAC@CHI 03/13/2018 08:00PM ET,28.545,CHI
PF/C,Kevin Love,6200,CLE@PHO 03/13/2018 10:00PM ET,35.38,CLE
PG/SG,Jamal Murray,6200,DEN@LAL 03/13/2018 10:30PM ET,27.701,DEN
PG/SG,D'Angelo Russell,6200,TOR@BKN 03/13/2018 07:30PM ET,28.78,BKN
C,Myles Turner,6200,IND@PHI 03/13/2018 07:00PM ET,29.461,IND
SF/PF,Nemanja Bjelica,6200,MIN@WAS 03/13/2018 07:00PM ET,14.91,MIN
SG/SF,Kentavious Caldwell-Pope,6100,DEN@LAL 03/13/2018 10:30PM ET,27.776,LAL
PF,Nikola Mirotic,6100,CHA@NO 03/13/2018 08:00PM ET,30.863000000000003,NO
PG/SG,Austin Rivers,6000,LAC@CHI 03/13/2018 08:00PM ET,27.105999999999998,LAC
SG/SF,Jonathon Simmons,6000,ORL@SA 03/13/2018 08:30PM ET,23.432,ORL
SF/PF,Kawhi Leonard,6000,ORL@SA 03/13/2018 08:30PM ET,31.278000000000002,SA
SG/SF,Josh Jackson,5900,CLE@PHO 03/13/2018 10:00PM ET,21.081,PHO
C,Jonas Valanciunas,5900,TOR@BKN 03/13/2018 07:30PM ET,26.616999999999997,TOR
SF/PF,Robert Covington,5900,IND@PHI 03/13/2018 07:00PM ET,27.496,PHI
SF/PF,Carmelo Anthony,5800,OKC@ATL 03/13/2018 07:30PM ET,29.069000000000003,OKC
PF,Lauri Markkanen,5800,LAC@CHI 03/13/2018 08:00PM ET,29.241999999999997,CHI
SF/PF,Danilo Gallinari,5800,LAC@CHI 03/13/2018 08:00PM ET,27.224,LAC
SG/SF,Joe Ingles,5800,DET@UTA 03/13/2018 09:00PM ET,25.631,UTA
C,Brook Lopez,5800,DEN@LAL 03/13/2018 10:30PM ET,23.362,LAL
