,Position,Position Num,Name,Salary,,,,AvgPointsPerGame,
20171126,PG/SG,12,Jeremy Lin,3000,bkn,mem,A,23.00,7.67
20171126,PF/C,45,Alex Len,4500,pho,min,A,24.06,5.35
20171126,C,5,Robin Lopez,4600,chi,mia,H,24.22,5.27
20171126,SG/SF,23,Caris LeVert,4300,bkn,mem,A,22.14,5.15
20171126,PG,1,Mike James,4300,pho,min,A,22.13,5.15
20171126,PG,1,D'Angelo Russell,7200,bkn,mem,A,36.46,5.06
20171126,PF,4,Bobby Portis,5300,chi,mia,H,26.78,5.05
20171126,C,5,Tyson Chandler,4400,pho,min,A,21.80,4.95
20171126,SG/SF,23,Joe Harris,3600,bkn,mem,A,17.75,4.93
20171126,C,5,Marc Gasol,8500,mem,bkn,H,41.65,4.90
20171126,SG/SF,23,Josh Jackson,3700,pho,min,A,18.10,4.89
20171126,PF/C,45,Kelly Olynyk,4100,mia,chi,A,20.06,4.89
20171126,PG,1,Jeff Teague,6800,min,pho,H,33.17,4.88
20171126,SF/PF,34,DeMarre Carroll,5700,bkn,mem,A,27.78,4.87
20171126,PG/SG,12,Jerian Grant,4500,chi,mia,H,21.71,4.82
20171126,PG/SG,12,Tyler Johnson,4100,mia,chi,A,19.54,4.77
20171126,SG/SF,23,Justin Holiday,5600,chi,mia,H,26.63,4.75
20171126,PF,4,Lauri Markkanen,6400,chi,mia,H,30.28,4.73
20171126,C,5,Karl-Anthony Towns,8900,min,pho,H,41.74,4.69
20171126,PF,4,James Johnson,5800,mia,chi,A,27.13,4.68
20171126,SG/SF,23,Tyreke Evans,6900,mem,bkn,H,32.15,4.66
20171126,PF/C,45,Trevor Booker,4700,bkn,mem,A,21.73,4.62
20171126,SF/PF,34,Andrew Wiggins,6500,min,pho,H,30.03,4.62
20171126,SG/SF,23,Dillon Brooks,4100,mem,bkn,H,18.81,4.59
20171126,PG/SG,12,David Nwaba,4000,chi,mia,H,18.31,4.58
20171126,PF/C,45,Taj Gibson,5500,min,pho,H,25.12,4.57
20171126,PG,1,Goran Dragic,7300,mia,chi,A,33.13,4.54
20171126,SG,2,Jimmy Butler,7500,min,pho,H,33.96,4.53
20171126,SG/SF,23,Devin Booker,8000,pho,min,A,35.94,4.49
20171126,PG/SG,12,Kris Dunn,5900,chi,mia,H,26.23,4.45
20171126,SG/SF,23,Allen Crabbe,5000,bkn,mem,A,22.14,4.43
20171126,PG,1,Mike Conley,6500,mem,bkn,H,28.77,4.43
20171126,PF/C,45,Marquese Chriss,3900,pho,min,A,17.25,4.42
20171126,SF/PF,34,Rondae Hollis-Jefferson,6300,bkn,mem,A,27.74,4.40
20171126,SF/PF,34,T.J. Warren,7100,pho,min,A,31.20,4.39
20171126,SF/PF,34,Justise Winslow,4200,mia,chi,A,18.39,4.38
20171126,SG/SF,23,Dion Waiters,6100,mia,chi,A,26.70,4.38
20171126,C,5,Tyler Zeller,3400,bkn,mem,A,14.88,4.38
20171126,SG/SF,23,James Ennis III,3600,mem,bkn,H,15.56,4.32
20171126,SG/SF,23,Denzel Valentine,5400,chi,mia,H,23.16,4.29
20171126,SF/PF,34,JaMychal Green,4400,mem,bkn,H,18.79,4.27
20171126,PF/C,45,Brandan Wright,3300,mem,bkn,H,13.98,4.24
20171126,C,5,Hassan Whiteside,9000,mia,chi,A,38.04,4.23
20171126,SG,2,Jamal Crawford,3700,min,pho,H,15.49,4.19
20171126,SG/SF,23,Josh Richardson,4600,mia,chi,A,19.17,4.17
20171126,SF/PF,34,Chandler Parsons,4000,mem,bkn,H,16.47,4.12
20171126,PF/C,45,Dragan Bender,3400,pho,min,A,13.96,4.11
20171126,PG,1,Tyler Ulis,4200,pho,min,A,17.16,4.09
20171126,PF/C,45,Greg Monroe,4900,pho,min,A,19.60,4.00
20171126,PF/C,45,Jarrett Allen,3200,bkn,mem,A,12.75,3.98
20171126,SF/PF,34,Nemanja Bjelica,3400,min,pho,H,13.51,3.97
20171126,PG,1,Antonio Blakeney,3200,chi,mia,H,12.71,3.97
20171126,PF/C,45,Quincy Acy,3300,bkn,mem,A,13.02,3.94
20171126,SG/SF,23,Wayne Ellington,3500,mia,chi,A,13.64,3.90
20171126,PG/SG,12,Spencer Dinwiddie,7000,bkn,mem,A,26.11,3.73
20171126,PF/C,45,Jordan Mickey,3000,mia,chi,A,11.08,3.69
20171126,PF/C,45,Jarell Martin,3400,mem,bkn,H,12.56,3.69
20171126,PG,1,Mario Chalmers,6000,mem,bkn,H,21.33,3.56
20171126,PF/C,45,Gorgui Dieng,3800,min,pho,H,13.38,3.52
20171126,C,5,Timofey Mozgov,3200,bkn,mem,A,11.20,3.50
20171126,PF/C,45,Deyonta Davis,3000,mem,bkn,H,9.96,3.32
20171126,PF/C,45,Cristiano Felicio,3000,chi,mia,H,9.29,3.10
20171126,SG/SF,23,Ben McLemore,3500,mem,bkn,H,10.39,2.97
20171126,PF,4,Jared Dudley,3400,pho,min,A,9.67,2.84
20171126,SF/PF,34,Okaro White,3000,mia,chi,A,8.45,2.82
20171126,PG/SG,12,Wayne Selden Jr.,3000,mem,bkn,H,8.25,2.75
20171126,PG/SG,12,Tyus Jones,3600,min,pho,H,9.90,2.75
20171126,SG,2,Troy Daniels,3300,pho,min,A,9.01,2.73
20171126,PG/SG,12,Isaiah Whitehead,3500,bkn,mem,A,9.35,2.67
20171126,PG,1,Kay Felder,3000,chi,mia,H,7.94,2.65
20171126,PG/SG,12,Andrew Harrison,3400,mem,bkn,H,8.88,2.61
20171126,SG/SF,23,Paul Zipser,3900,chi,mia,H,10.09,2.59
20171126,PF/C,45,Bam Adebayo,3700,mia,chi,A,9.50,2.57
20171126,SG/SF,23,Shabazz Muhammad,3500,min,pho,H,8.17,2.33
20171126,PG/SG,12,Sean Kilpatrick,3300,bkn,mem,A,7.64,2.31
20171126,SG/SF,23,Quincy Pondexter,3000,chi,mia,H,6.48,2.16
20171126,PG,1,Jacob Wiley,3000,bkn,mem,A,5.81,1.94
20171126,PF,4,Alec Peters,3000,pho,min,A,5.63,1.88
20171126,SF,3,Derrick Jones Jr.,3000,pho,min,A,4.42,1.47
20171126,PG/SG,12,Aaron Brooks,3000,min,pho,H,3.39,1.13
20171126,PF/C,45,Udonis Haslem,3000,mia,chi,A,2.00,0.67
20171126,PG,1,Ryan Arcidiacono,3000,chi,mia,H,1.50,0.50
20171126,C,5,Cole Aldrich,3000,min,pho,H,1.15,0.38
20171126,SG/SF,23,Marcus Georges-Hunt,3000,min,pho,H,1.03,0.34
20171126,PG,1,Derrick Walton Jr.,3000,mia,chi,A,0.81,0.27
