"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","LeBron James",11600,"SAC@CLE 12/06/2017 07:00PM ET",55.781,"CLE"
"PF/C","DeMarcus Cousins",11300,"DEN@NO 12/06/2017 08:00PM ET",54.750,"NO"
"SF/PF","Giannis Antetokounmpo",11100,"DET@MIL 12/06/2017 08:00PM ET",55.500,"MIL"
"PF/C","Anthony Davis",10500,"DEN@NO 12/06/2017 08:00PM ET",49.000,"NO"
"SF/PF","Kevin Durant",10100,"GS@CHA 12/06/2017 08:00PM ET",45.113,"GS"
"PG/SG","Stephen Curry",9700,"GS@CHA 12/06/2017 08:00PM ET",46.924,"GS"
"C","Andre Drummond",9100,"DET@MIL 12/06/2017 08:00PM ET",44.207,"DET"
"PG/SG","Victor Oladipo",8900,"CHI@IND 12/06/2017 07:00PM ET",40.957,"IND"
"PG","Kyrie Irving",8500,"DAL@BOS 12/06/2017 07:30PM ET",38.604,"BOS"
"PF/C","Kevin Love",8400,"SAC@CLE 12/06/2017 07:00PM ET",38.188,"CLE"
"C","Nikola Jokic",8300,"DEN@NO 12/06/2017 08:00PM ET",39.881,"DEN"
"PG","Dennis Schroder",8200,"ATL@ORL 12/06/2017 07:00PM ET",35.083,"ATL"
"SF/PF","Aaron Gordon",8100,"ATL@ORL 12/06/2017 07:00PM ET",36.500,"ORL"
"PF/C","Kristaps Porzingis",8100,"MEM@NY 12/06/2017 07:30PM ET",41.118,"NY"
"C","Karl-Anthony Towns",8100,"MIN@LAC 12/06/2017 10:30PM ET",40.790,"MIN"
"PF/C","LaMarcus Aldridge",8100,"MIA@SA 12/06/2017 08:30PM ET",40.174,"SA"
"C","Marc Gasol",8000,"MEM@NY 12/06/2017 07:30PM ET",40.783,"MEM"
"PF/C","Blake Griffin",8000,"MIN@LAC 12/06/2017 10:30PM ET",43.763,"LAC"
"PF/C","Draymond Green",7900,"GS@CHA 12/06/2017 08:00PM ET",35.521,"GS"
"PG","Kemba Walker",7800,"GS@CHA 12/06/2017 08:00PM ET",38.900,"CHA"
"SF/PF","Kawhi Leonard",7700,"MIA@SA 12/06/2017 08:30PM ET",0,"SA"
"SG/SF","Tyreke Evans",7600,"MEM@NY 12/06/2017 07:30PM ET",33.163,"MEM"
"SG","Jimmy Butler",7600,"MIN@LAC 12/06/2017 10:30PM ET",36.707,"MIN"
"C","Nikola Vucevic",7500,"ATL@ORL 12/06/2017 07:00PM ET",36.010,"ORL"
"C","Hassan Whiteside",7500,"MIA@SA 12/06/2017 08:30PM ET",36.950,"MIA"
"PF/C","Al Horford",7400,"DAL@BOS 12/06/2017 07:30PM ET",35.272,"BOS"
"SG","Klay Thompson",7400,"GS@CHA 12/06/2017 08:00PM ET",33.360,"GS"
"C","Dwight Howard",7300,"GS@CHA 12/06/2017 08:00PM ET",34.614,"CHA"
"PG/SG","Lou Williams",7100,"MIN@LAC 12/06/2017 10:30PM ET",30.841,"LAC"
"C","DeAndre Jordan",6900,"MIN@LAC 12/06/2017 10:30PM ET",32.216,"LAC"
"SG/SF","Will Barton",6900,"DEN@NO 12/06/2017 08:00PM ET",29.946,"DEN"
"SG/SF","Tim Hardaway Jr.",6800,"MEM@NY 12/06/2017 07:30PM ET",31.238,"NY"
"SF/PF","Andrew Wiggins",6700,"MIN@LAC 12/06/2017 10:30PM ET",30.160,"MIN"
"SG/SF","Khris Middleton",6700,"DET@MIL 12/06/2017 08:00PM ET",35.443,"MIL"
"PG","Jeff Teague",6600,"MIN@LAC 12/06/2017 10:30PM ET",32.095,"MIN"
"PG/SG","Eric Bledsoe",6600,"DET@MIL 12/06/2017 08:00PM ET",31.967,"MIL"
"PG/SG","Jrue Holiday",6600,"DEN@NO 12/06/2017 08:00PM ET",32.594,"NO"
"PG","Isaiah Thomas",6500,"SAC@CLE 12/06/2017 07:00PM ET",0,"CLE"
"PG","Elfrid Payton",6500,"ATL@ORL 12/06/2017 07:00PM ET",29.203,"ORL"
"PG","Mike Conley",6400,"MEM@NY 12/06/2017 07:30PM ET",28.771,"MEM"
"PF/C","Enes Kanter",6400,"MEM@NY 12/06/2017 07:30PM ET",31.013,"NY"
"PF/C","Paul Millsap",6400,"DEN@NO 12/06/2017 08:00PM ET",31.828,"DEN"
"SF/PF","Harrison Barnes",6300,"DAL@BOS 12/06/2017 07:30PM ET",32.531,"DAL"
"C","Myles Turner",6200,"CHI@IND 12/06/2017 07:00PM ET",30.279,"IND"
"PF/C","Taj Gibson",6200,"MIN@LAC 12/06/2017 10:30PM ET",26.360,"MIN"
"SF/PF","Tobias Harris",6200,"DET@MIL 12/06/2017 08:00PM ET",30.772,"DET"
"PG","Goran Dragic",6200,"MIA@SA 12/06/2017 08:30PM ET",30.696,"MIA"
"PG/SG","Kris Dunn",6100,"CHI@IND 12/06/2017 07:00PM ET",27.653,"CHI"
"PG","Darren Collison",6100,"CHI@IND 12/06/2017 07:00PM ET",29.250,"IND"
"SG/SF","Evan Fournier",6100,"ATL@ORL 12/06/2017 07:00PM ET",29.500,"ORL"
"PG/SG","Austin Rivers",6100,"MIN@LAC 12/06/2017 10:30PM ET",25.727,"LAC"
"PG","Reggie Jackson",6000,"DET@MIL 12/06/2017 08:00PM ET",29.500,"DET"
"SG","Gary Harris",6000,"DEN@NO 12/06/2017 08:00PM ET",27.607,"DEN"
"SF/PF","Thaddeus Young",5900,"CHI@IND 12/06/2017 07:00PM ET",27.948,"IND"
"SF/PF","Jayson Tatum",5800,"DAL@BOS 12/06/2017 07:30PM ET",26.490,"BOS"
"PF","Lauri Markkanen",5800,"CHI@IND 12/06/2017 07:00PM ET",29.841,"CHI"
"SG/SF","Justin Holiday",5800,"CHI@IND 12/06/2017 07:00PM ET",27.893,"CHI"
"PG/SG","Dwyane Wade",5800,"SAC@CLE 12/06/2017 07:00PM ET",25.511,"CLE"
"SG/SF","Jaylen Brown",5700,"DAL@BOS 12/06/2017 07:30PM ET",27.104,"BOS"
"PF/C","John Collins",5700,"ATL@ORL 12/06/2017 07:00PM ET",24.202,"ATL"
"SG/SF","Nicolas Batum",5700,"GS@CHA 12/06/2017 08:00PM ET",23.806,"CHA"
"PF/C","Pau Gasol",5700,"MIA@SA 12/06/2017 08:30PM ET",28.958,"SA"
"C","Robin Lopez",5600,"CHI@IND 12/06/2017 07:00PM ET",24.761,"CHI"
"SG/SF","Dion Waiters",5600,"MIA@SA 12/06/2017 08:30PM ET",25.500,"MIA"
"SG/SF","Jeremy Lamb",5500,"GS@CHA 12/06/2017 08:00PM ET",29.523,"CHA"
"SF/PF","Danilo Gallinari",5500,"MIN@LAC 12/06/2017 10:30PM ET",24.806,"LAC"
"PG","Rajon Rondo",5500,"DEN@NO 12/06/2017 08:00PM ET",23.705,"NO"
"SF/PF","James Johnson",5500,"MIA@SA 12/06/2017 08:30PM ET",26.409,"MIA"
"SG/SF","Kent Bazemore",5400,"ATL@ORL 12/06/2017 07:00PM ET",26.793,"ATL"
"SG/SF","Taurean Prince",5400,"ATL@ORL 12/06/2017 07:00PM ET",25.424,"ATL"
"PG/SG","Dennis Smith Jr.",5300,"DAL@BOS 12/06/2017 07:30PM ET",27.057,"DAL"
"PF/C","Zach Randolph",5300,"SAC@CLE 12/06/2017 07:00PM ET",26.345,"SAC"
"SF/PF","JaMychal Green",5300,"MEM@NY 12/06/2017 07:30PM ET",20.750,"MEM"
"SG/SF","Marcus Smart",5200,"DAL@BOS 12/06/2017 07:30PM ET",26.054,"BOS"
"SG/SF","Denzel Valentine",5200,"CHI@IND 12/06/2017 07:00PM ET",23.545,"CHI"
"PF/C","Domantas Sabonis",5200,"CHI@IND 12/06/2017 07:00PM ET",27.648,"IND"
"PF/C","Willie Cauley-Stein",5200,"SAC@CLE 12/06/2017 07:00PM ET",23.946,"SAC"
"C","Dewayne Dedmon",5200,"ATL@ORL 12/06/2017 07:00PM ET",25.038,"ATL"
"SG/SF","Jonathon Simmons",5200,"ATL@ORL 12/06/2017 07:00PM ET",21.970,"ORL"
"SG/SF","Courtney Lee",5200,"MEM@NY 12/06/2017 07:30PM ET",24.837,"NY"
"SF/PF","Jabari Parker",5200,"DET@MIL 12/06/2017 08:00PM ET",0,"MIL"
"PG/SF","Kyle Anderson",5200,"MIA@SA 12/06/2017 08:30PM ET",24.489,"SA"
"SF/PF","Rudy Gay",5200,"MIA@SA 12/06/2017 08:30PM ET",23.864,"SA"
"PG/SG","Avery Bradley",5100,"DET@MIL 12/06/2017 08:00PM ET",24.750,"DET"
"PG/SG","Jamal Murray",5100,"DEN@NO 12/06/2017 08:00PM ET",23.174,"DEN"
"PF/C","Kenneth Faried",5000,"DEN@NO 12/06/2017 08:00PM ET",14.125,"DEN"
"PF/C","Nikola Mirotic",4900,"CHI@IND 12/06/2017 07:00PM ET",0,"CHI"
"PG","Mario Chalmers",4900,"MEM@NY 12/06/2017 07:30PM ET",19.443,"MEM"
"SG/SF","Bojan Bogdanovic",4800,"CHI@IND 12/06/2017 07:00PM ET",22.667,"IND"
"SF/PF","Ersan Ilyasova",4800,"ATL@ORL 12/06/2017 07:00PM ET",16.625,"ATL"
"SF/PF","Marcus Morris",4700,"DAL@BOS 12/06/2017 07:30PM ET",23.867,"BOS"
"PF","Bobby Portis",4700,"CHI@IND 12/06/2017 07:00PM ET",24.865,"CHI"
"PG/SG","Zach LaVine",4700,"CHI@IND 12/06/2017 07:00PM ET",0,"CHI"
"SG/SF","Buddy Hield",4700,"SAC@CLE 12/06/2017 07:00PM ET",21.548,"SAC"
"PG/SG","Malcolm Brogdon",4700,"DET@MIL 12/06/2017 08:00PM ET",24.095,"MIL"
"PF/C","Mason Plumlee",4700,"DEN@NO 12/06/2017 08:00PM ET",16.804,"DEN"
"PF/C","Kelly Olynyk",4700,"MIA@SA 12/06/2017 08:30PM ET",20.587,"MIA"
"PG","De'Aaron Fox",4600,"SAC@CLE 12/06/2017 07:00PM ET",21.946,"SAC"
"C","John Henson",4600,"DET@MIL 12/06/2017 08:00PM ET",20.857,"MIL"
"SG/SF","Danny Green",4600,"MIA@SA 12/06/2017 08:30PM ET",22.228,"SA"
"PG/SG","J.J. Barea",4500,"DAL@BOS 12/06/2017 07:30PM ET",25.229,"DAL"
"SF/PF","Wilson Chandler",4500,"DEN@NO 12/06/2017 08:00PM ET",19.632,"DEN"
"SG/SF","Josh Richardson",4500,"MIA@SA 12/06/2017 08:30PM ET",19.761,"MIA"
"PF/C","Dirk Nowitzki",4400,"DAL@BOS 12/06/2017 07:30PM ET",22.958,"DAL"
"PG/SG","Jerian Grant",4400,"CHI@IND 12/06/2017 07:00PM ET",21.841,"CHI"
"SG/SF","Lance Stephenson",4400,"CHI@IND 12/06/2017 07:00PM ET",19.156,"IND"
"PG/SG","Shaun Livingston",4400,"GS@CHA 12/06/2017 08:00PM ET",10.943,"GS"
"SG/SF","Wesley Johnson",4300,"MIN@LAC 12/06/2017 10:30PM ET",17.864,"LAC"
"SG/SF","Wesley Matthews",4200,"DAL@BOS 12/06/2017 07:30PM ET",22.917,"DAL"
"SG","Marco Belinelli",4200,"ATL@ORL 12/06/2017 07:00PM ET",21.620,"ATL"
"SF/PF","Michael Beasley",4200,"MEM@NY 12/06/2017 07:30PM ET",13.838,"NY"
"SF","Michael Kidd-Gilchrist",4200,"GS@CHA 12/06/2017 08:00PM ET",18.172,"CHA"
"SG/SF","E'Twaun Moore",4200,"DEN@NO 12/06/2017 08:00PM ET",21.313,"NO"
"PG/SG","Seth Curry",4100,"DAL@BOS 12/06/2017 07:30PM ET",0,"DAL"
"SF/PF","Jeff Green",4100,"SAC@CLE 12/06/2017 07:00PM ET",18.688,"CLE"
"PF/C","Kyle O'Quinn",4100,"MEM@NY 12/06/2017 07:30PM ET",19.457,"NY"
"SG/SF","Andre Iguodala",4100,"GS@CHA 12/06/2017 08:00PM ET",17.631,"GS"
"PG","Ish Smith",4100,"DET@MIL 12/06/2017 08:00PM ET",18.783,"DET"
"PG","Patty Mills",4100,"MIA@SA 12/06/2017 08:30PM ET",19.458,"SA"
"PG/SG","Terry Rozier",4000,"DAL@BOS 12/06/2017 07:30PM ET",20.020,"BOS"
"SG/SF","J.R. Smith",4000,"SAC@CLE 12/06/2017 07:00PM ET",17.698,"CLE"
"PG/SG","Garrett Temple",4000,"SAC@CLE 12/06/2017 07:00PM ET",17.477,"SAC"
"PG","Jarrett Jack",4000,"MEM@NY 12/06/2017 07:30PM ET",19.060,"NY"
"SF","Darius Miller",4000,"DEN@NO 12/06/2017 08:00PM ET",12.854,"NO"
"PF/C","Bam Adebayo",4000,"MIA@SA 12/06/2017 08:30PM ET",12.607,"MIA"
"PG/SG","David Nwaba",3900,"CHI@IND 12/06/2017 07:00PM ET",18.250,"CHI"
"PG/SG","George Hill",3900,"SAC@CLE 12/06/2017 07:00PM ET",18.107,"SAC"
"SG/SF","Dillon Brooks",3900,"MEM@NY 12/06/2017 07:30PM ET",17.228,"MEM"
"PG/SG","Malik Monk",3900,"GS@CHA 12/06/2017 08:00PM ET",13.421,"CHA"
"PF/C","Frank Kaminsky",3900,"GS@CHA 12/06/2017 08:00PM ET",19.810,"CHA"
"PG/SG","Tyler Johnson",3900,"MIA@SA 12/06/2017 08:30PM ET",19.477,"MIA"
"SF/PF","Justise Winslow",3900,"MIA@SA 12/06/2017 08:30PM ET",18.337,"MIA"
"PF/C","Dwight Powell",3800,"DAL@BOS 12/06/2017 07:30PM ET",16.098,"DAL"
"SG/SF","Glenn Robinson III",3800,"CHI@IND 12/06/2017 07:00PM ET",0,"IND"
"PF/C","Tristan Thompson",3800,"SAC@CLE 12/06/2017 07:00PM ET",13.781,"CLE"
"SG/SF","Bogdan Bogdanovic",3800,"SAC@CLE 12/06/2017 07:00PM ET",18.125,"SAC"
"SF/PF","Luke Babbitt",3800,"ATL@ORL 12/06/2017 07:00PM ET",14.150,"ATL"
"SG/SF","DeAndre' Bembry",3800,"ATL@ORL 12/06/2017 07:00PM ET",12.722,"ATL"
"PG/SG","D.J. Augustin",3800,"ATL@ORL 12/06/2017 07:00PM ET",17.417,"ORL"
"SF/PF","Chandler Parsons",3800,"MEM@NY 12/06/2017 07:30PM ET",16.722,"MEM"
"SG/SF","James Ennis III",3800,"MEM@NY 12/06/2017 07:30PM ET",15.023,"MEM"
"PG/SG","Milos Teodosic",3800,"MIN@LAC 12/06/2017 10:30PM ET",13.125,"LAC"
"PF/C","Montrezl Harrell",3800,"MIN@LAC 12/06/2017 10:30PM ET",11.109,"LAC"
"PF/C","Gorgui Dieng",3800,"MIN@LAC 12/06/2017 10:30PM ET",15.682,"MIN"
"SG/SF","Tony Snell",3800,"DET@MIL 12/06/2017 08:00PM ET",16.648,"MIL"
"PG","Emmanuel Mudiay",3800,"DEN@NO 12/06/2017 08:00PM ET",19.196,"DEN"
"PG/SG","Devin Harris",3700,"DAL@BOS 12/06/2017 07:30PM ET",17.028,"DAL"
"PG/SG","Yogi Ferrell",3700,"DAL@BOS 12/06/2017 07:30PM ET",17.365,"DAL"
"PG","Derrick Rose",3700,"SAC@CLE 12/06/2017 07:00PM ET",19.786,"CLE"
"PG/SG","Frank Mason III",3700,"SAC@CLE 12/06/2017 07:00PM ET",14.766,"SAC"
"SF/PF","Jae Crowder",3700,"SAC@CLE 12/06/2017 07:00PM ET",15.677,"CLE"
"SG/SF","Terrence Ross",3700,"ATL@ORL 12/06/2017 07:00PM ET",18.795,"ORL"
"PG","Michael Carter-Williams",3700,"GS@CHA 12/06/2017 08:00PM ET",15.705,"CHA"
"SF/PF","Marvin Williams",3700,"GS@CHA 12/06/2017 08:00PM ET",18.977,"CHA"
"PG/SF","Patrick McCaw",3700,"GS@CHA 12/06/2017 08:00PM ET",9.148,"GS"
"SG","Nick Young",3700,"GS@CHA 12/06/2017 08:00PM ET",10.646,"GS"
"PG/SG","Tyus Jones",3700,"MIN@LAC 12/06/2017 10:30PM ET",13.050,"MIN"
"PF/C","Thon Maker",3700,"DET@MIL 12/06/2017 08:00PM ET",12.341,"MIL"
"SG/SF","Stanley Johnson",3700,"DET@MIL 12/06/2017 08:00PM ET",17.400,"DET"
"SF/PF","Trey Lyles",3700,"DEN@NO 12/06/2017 08:00PM ET",10.931,"DEN"
"SF/PF","Juancho Hernangomez",3700,"DEN@NO 12/06/2017 08:00PM ET",9.750,"DEN"
"PG","Tony Parker",3700,"MIA@SA 12/06/2017 08:30PM ET",15.188,"SA"
"SG/SF","Wayne Ellington",3700,"MIA@SA 12/06/2017 08:30PM ET",14.674,"MIA"
"SG/SF","Manu Ginobili",3700,"MIA@SA 12/06/2017 08:30PM ET",15.888,"SA"
"PF/C","Daniel Theis",3600,"DAL@BOS 12/06/2017 07:30PM ET",11.804,"BOS"
"C","Aron Baynes",3600,"DAL@BOS 12/06/2017 07:30PM ET",15.350,"BOS"
"SG/SF","Kyle Korver",3600,"SAC@CLE 12/06/2017 07:00PM ET",17.177,"CLE"
"PG/SG","Malcolm Delaney",3600,"ATL@ORL 12/06/2017 07:00PM ET",12.250,"ATL"
"C","Miles Plumlee",3600,"ATL@ORL 12/06/2017 07:00PM ET",8.688,"ATL"
"PF/C","Guillermo Hernangomez",3600,"MEM@NY 12/06/2017 07:30PM ET",12.339,"NY"
"SG","Damyean Dotson",3600,"MEM@NY 12/06/2017 07:30PM ET",5.867,"NY"
"C","Cody Zeller",3600,"GS@CHA 12/06/2017 08:00PM ET",17.708,"CHA"
"PF/C","David West",3600,"GS@CHA 12/06/2017 08:00PM ET",16.120,"GS"
"SF/PF","Dante Cunningham",3600,"DEN@NO 12/06/2017 08:00PM ET",13.188,"NO"
"PG","Cory Joseph",3500,"CHI@IND 12/06/2017 07:00PM ET",18.281,"IND"
"SG/SF","Paul Zipser",3500,"CHI@IND 12/06/2017 07:00PM ET",10.737,"CHI"
"PG/SG","Iman Shumpert",3500,"SAC@CLE 12/06/2017 07:00PM ET",12.192,"CLE"
"SF/PF","Jonathan Isaac",3500,"ATL@ORL 12/06/2017 07:00PM ET",16.229,"ORL"
"C","Mike Muscala",3500,"ATL@ORL 12/06/2017 07:00PM ET",16.333,"ATL"
"SG/SF","Ben McLemore",3500,"MEM@NY 12/06/2017 07:30PM ET",12.938,"MEM"
"PG/SG","Frank Ntilikina",3500,"MEM@NY 12/06/2017 07:30PM ET",14.163,"NY"
"PG/SG","Andrew Harrison",3500,"MEM@NY 12/06/2017 07:30PM ET",11.309,"MEM"
