"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","Anthony Davis",11500,"NO@SA 03/15/2018 08:30PM ET",53.763,"NO"
"SF/PF","LeBron James",11400,"CLE@POR 03/15/2018 10:00PM ET",56.25,"CLE"
"PG/SG","James Harden",11200,"LAC@HOU 03/15/2018 08:00PM ET",56.263,"HOU"
"C","Joel Embiid",9700,"PHI@NY 03/15/2018 07:30PM ET",46.395,"PHI"
"PG","Damian Lillard",9600,"CLE@POR 03/15/2018 10:00PM ET",45.346,"POR"
"C","Nikola Jokic",8900,"DET@DEN 03/15/2018 09:00PM ET",43.201,"DEN"
"C","Rudy Gobert",8800,"PHO@UTA 03/15/2018 09:00PM ET",34.964,"UTA"
"PG/SF","Ben Simmons",8700,"PHI@NY 03/15/2018 07:30PM ET",41.631,"PHI"
"PG","Chris Paul",8600,"LAC@HOU 03/15/2018 08:00PM ET",42.454,"HOU"
"C","Dwight Howard",8500,"CHA@ATL 03/15/2018 07:30PM ET",37.585,"CHA"
"PG","Kemba Walker",8400,"CHA@ATL 03/15/2018 07:30PM ET",38.86,"CHA"
"C","Andre Drummond",8300,"DET@DEN 03/15/2018 09:00PM ET",45.527,"DET"
"PG/SG","Victor Oladipo",8200,"TOR@IND 03/15/2018 07:00PM ET",42.282,"IND"
"C","DeAndre Jordan",8100,"LAC@HOU 03/15/2018 08:00PM ET",36.693,"LAC"
"PG/SG","Jrue Holiday",8000,"NO@SA 03/15/2018 08:30PM ET",37.418,"NO"
"PF/C","LaMarcus Aldridge",8000,"NO@SA 03/15/2018 08:30PM ET",38.865,"SA"
"C","Marc Gasol",7900,"CHI@MEM 03/15/2018 08:00PM ET",38.619,"MEM"
"SG/SF","Nicolas Batum",7800,"CHA@ATL 03/15/2018 07:30PM ET",29.301,"CHA"
"PF/C","Blake Griffin",7800,"DET@DEN 03/15/2018 09:00PM ET",41.221,"DET"
"PG","Kyle Lowry",7700,"TOR@IND 03/15/2018 07:00PM ET",37.078,"TOR"
"SF/PF","Tobias Harris",7700,"LAC@HOU 03/15/2018 08:00PM ET",32.02,"LAC"
"SG/SF","DeMar DeRozan",7600,"TOR@IND 03/15/2018 07:00PM ET",38.571,"TOR"
"PG/SG","Lou Williams",7600,"LAC@HOU 03/15/2018 08:00PM ET",37.012,"LAC"
"SG/SF","Devin Booker",7500,"PHO@UTA 03/15/2018 09:00PM ET",39.91,"PHO"
"PG/SG","Donovan Mitchell",7400,"PHO@UTA 03/15/2018 09:00PM ET",33.096,"UTA"
"PG/SG","CJ McCollum",7300,"CLE@POR 03/15/2018 10:00PM ET",34.443,"POR"
"PG","Ricky Rubio",7200,"PHO@UTA 03/15/2018 09:00PM ET",28.551,"UTA"
"PG/SG","Tyreke Evans",7000,"CHI@MEM 03/15/2018 08:00PM ET",36.327,"MEM"
"PF/C","Bobby Portis",7000,"CHI@MEM 03/15/2018 08:00PM ET",25.918,"CHI"
"SG/SF","Taurean Prince",6800,"CHA@ATL 03/15/2018 07:30PM ET",25.588,"ATL"
"C","Enes Kanter",6700,"PHI@NY 03/15/2018 07:30PM ET",31.897,"NY"
"PG/SG","Kris Dunn",6700,"CHI@MEM 03/15/2018 08:00PM ET",32.103,"CHI"
"C","Jonas Valanciunas",6600,"TOR@IND 03/15/2018 07:00PM ET",26.956,"TOR"
"C","Myles Turner",6500,"TOR@IND 03/15/2018 07:00PM ET",29.582,"IND"
"SF/PF","JaMychal Green",6500,"CHI@MEM 03/15/2018 08:00PM ET",24.793,"MEM"
"SG/SF","Joe Ingles",6400,"PHO@UTA 03/15/2018 09:00PM ET",25.831,"UTA"
"PG","Elfrid Payton",6400,"PHO@UTA 03/15/2018 09:00PM ET",31.425,"PHO"
"C","Jusuf Nurkic",6400,"CLE@POR 03/15/2018 10:00PM ET",30.836,"POR"
"PF/C","Larry Nance Jr.",6400,"CLE@POR 03/15/2018 10:00PM ET",23.886,"CLE"
"PG/SG","Jamal Murray",6400,"DET@DEN 03/15/2018 09:00PM ET",27.81,"DEN"
"PF/C","Dario Saric",6300,"PHI@NY 03/15/2018 07:30PM ET",29.773,"PHI"
"C","Clint Capela",6300,"LAC@HOU 03/15/2018 08:00PM ET",34.205,"HOU"
"SG","Gary Harris",6300,"DET@DEN 03/15/2018 09:00PM ET",30.117,"DEN"
"PG","Dennis Schroder",6200,"CHA@ATL 03/15/2018 07:30PM ET",34,"ATL"
"PF/C","Kevin Love",6200,"CLE@POR 03/15/2018 10:00PM ET",35.38,"CLE"
"PG","Rajon Rondo",6200,"NO@SA 03/15/2018 08:30PM ET",26.519,"NO"
"SF/PF","Robert Covington",6100,"PHI@NY 03/15/2018 07:30PM ET",27.59,"PHI"
"SG/SF","Tim Hardaway Jr.",6100,"PHI@NY 03/15/2018 07:30PM ET",29.38,"NY"
"PF/C","Paul Millsap",6100,"DET@DEN 03/15/2018 09:00PM ET",30.458,"DEN"
"SF/PF","T.J. Warren",6000,"PHO@UTA 03/15/2018 09:00PM ET",31.032,"PHO"
"PG/SG","Zach LaVine",6000,"CHI@MEM 03/15/2018 08:00PM ET",28.174,"CHI"
"SF/PF","Kawhi Leonard",6000,"NO@SA 03/15/2018 08:30PM ET",31.278,"SA"
"PG/SG","Austin Rivers",5900,"LAC@HOU 03/15/2018 08:00PM ET",27.141,"LAC"
"SG/SF","Will Barton",5900,"DET@DEN 03/15/2018 09:00PM ET",30.552,"DEN"
"PG","Dejounte Murray",5900,"NO@SA 03/15/2018 08:30PM ET",21.023,"SA"
"SF/PF","Danilo Gallinari",5800,"LAC@HOU 03/15/2018 08:00PM ET",27.224,"LAC"
"PF/C","Pau Gasol",5800,"NO@SA 03/15/2018 08:30PM ET",28.587,"SA"
"PF","Lauri Markkanen",5700,"CHI@MEM 03/15/2018 08:00PM ET",29.242,"CHI"
"SF/PF","Wilson Chandler",5700,"DET@DEN 03/15/2018 09:00PM ET",21.988,"DEN"
"PF","Nikola Mirotic",5600,"NO@SA 03/15/2018 08:30PM ET",30.774,"NO"
"SG/SF","Josh Jackson",5500,"PHO@UTA 03/15/2018 09:00PM ET",21.273,"PHO"
"SF/PF","Michael Beasley",5400,"PHI@NY 03/15/2018 07:30PM ET",22.861,"NY"
"SF/PF","Thaddeus Young",5300,"TOR@IND 03/15/2018 07:00PM ET",26.169,"IND"
"PG/SF","Kyle Anderson",5300,"NO@SA 03/15/2018 08:30PM ET",23.454,"SA"
"PF/C","John Collins",5200,"CHA@ATL 03/15/2018 07:30PM ET",23.681,"ATL"
"PF/C","Serge Ibaka",5200,"TOR@IND 03/15/2018 07:00PM ET",25.004,"TOR"
"SG/SF","Ben McLemore",5200,"CHI@MEM 03/15/2018 08:00PM ET",13.307,"MEM"
"PF/C","Derrick Favors",5100,"PHO@UTA 03/15/2018 09:00PM ET",26.367,"UTA"
"PF/C","Jarell Martin",5100,"CHI@MEM 03/15/2018 08:00PM ET",15.96,"MEM"
"PG/SG","Jordan Clarkson",5000,"CLE@POR 03/15/2018 10:00PM ET",23.966,"CLE"
"SG/SF","JJ Redick",5000,"PHI@NY 03/15/2018 07:30PM ET",26.345,"PHI"
"PG/SG","Andrew Harrison",5000,"CHI@MEM 03/15/2018 08:00PM ET",18.702,"MEM"
"PG/SG","Eric Gordon",5000,"LAC@HOU 03/15/2018 08:00PM ET",27.353,"HOU"
"PF/C","Montrezl Harrell",5000,"LAC@HOU 03/15/2018 08:00PM ET",18.346,"LAC"
"PG","Reggie Jackson",5000,"DET@DEN 03/15/2018 09:00PM ET",27.189,"DET"
"SG/SF","Reggie Bullock",5000,"DET@DEN 03/15/2018 09:00PM ET",18.392,"DET"
"SG/SF","Bojan Bogdanovic",4900,"TOR@IND 03/15/2018 07:00PM ET",22.694,"IND"
"PG","Emmanuel Mudiay",4900,"PHI@NY 03/15/2018 07:30PM ET",17.806,"NY"
"SG/SF","Denzel Valentine",4900,"CHI@MEM 03/15/2018 08:00PM ET",23.325,"CHI"
"PG","Ish Smith",4900,"DET@DEN 03/15/2018 09:00PM ET",22.108,"DET"
"PG/SG","George Hill",4800,"CLE@POR 03/15/2018 10:00PM ET",20.25,"CLE"
"PG/SG","Trey Burke",4800,"PHI@NY 03/15/2018 07:30PM ET",18.523,"NY"
